CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,925",70.05,74.09,"2,925",210.00,"14,625",0.14,1.02,"2,925",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",65.08,69.10,"2,925",215.00,"14,625",0.18,2.40,"14,625",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",60.22,64.25,"2,925",220.00,"2,925",0.25,0.75,"2,925",0.01,0.74,-,-,-,21,
,-,-,-,-,-,-,"8,775",57.81,61.84,"2,925",222.50,"14,625",0.26,2.55,"14,625",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",55.44,59.44,"2,925",225.00,"14,625",0.30,2.62,"14,625",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,925",53.12,57.15,"2,925",227.50,"14,625",0.33,2.69,"14,625",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",50.71,54.76,"2,925",230.00,"5,850",0.92,1.14,"5,850",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",48.22,52.29,"5,850",232.50,"5,850",1.00,2.85,"5,850",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",45.96,50.01,"5,850",235.00,"5,850",1.10,2.96,"5,850",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",43.55,47.55,"5,850",237.50,"5,850",1.21,3.08,"5,850",-,-,-,-,-,-,
,1,-,-,35.08,42.75,-,"8,775",41.17,45.24,"5,850",240.00,"5,850",1.35,1.64,"2,925",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,850",39.40,43.01,"5,850",242.50,"5,850",1.49,3.39,"5,850",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,775",36.69,40.70,"5,850",245.00,"5,850",1.53,3.40,"2,925",0.44,1.64,38.12,2,2,2,
