CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,925",68.35,71.36,"2,925",210.00,"29,250",0.05,0.10,"11,700",-0.02,0.05,82.91,37,-19,248,
,4,-,-,-,59.00,-,"2,925",63.37,66.38,"2,925",215.00,"5,850",0.05,0.20,"2,925",-,0.16,-,-,-,96,
,184,-,-,-,60.48,-,"2,925",58.45,61.46,"2,925",220.00,"5,850",0.11,0.15,"26,325",0.01,0.15,81.47,95,-45,219,
,-,-,-,-,-,-,"8,775",55.85,59.01,"2,925",222.50,"5,850",0.06,0.24,"8,775",-,0.39,-,-,-,22,
,-,-,-,-,-,-,"8,775",53.39,56.63,"2,925",225.00,"17,550",0.13,0.57,"43,875",-,0.20,-,-,-,48,
,2,-,-,-,36.30,-,"8,775",50.92,54.26,"2,925",227.50,"20,475",0.10,0.49,"2,925",-,0.25,-,-,-,84,
,12,-,-,-,25.23,-0.14,"8,775",48.57,51.57,"2,925",230.00,"2,925",0.21,0.27,"5,850",0.04,0.25,73.98,187,-22,217,
,-,-,-,-,-,-,"8,775",46.00,49.95,"5,850",232.50,"2,925",0.07,3.38,"46,800",-,0.36,-,-,-,45,
,-,-,-,-,-,-,"8,775",43.67,46.66,"2,925",235.00,"8,775",0.26,0.65,"2,925",-0.04,0.23,66.23,44,3,100,
,-,-,-,-,-,-,"8,775",41.08,44.42,"2,925",237.50,"14,625",0.16,0.62,"2,925",-,0.65,-,-,-,20,
,228,-3,3,80.53,41.89,0.71,"2,925",39.80,41.36,"5,850",240.00,"2,925",0.35,0.40,"5,850",0.05,0.39,65.40,500,108,542,
,14,-,1,78.27,39.50,1.85,"8,775",36.20,40.02,"5,850",242.50,"8,775",0.40,0.87,"2,925",-0.03,0.36,60.90,2,-,16,
,130,-,-,-,37.20,-,"11,700",34.02,36.92,"2,925",245.00,"2,925",0.47,0.52,"5,850",0.06,0.50,61.26,176,-1,215,
,72,-,-,-,31.63,0.17,"8,775",31.33,34.48,"2,925",247.50,"8,775",0.49,0.68,"2,925",0.03,0.53,58.30,50,-5,81,
,553,-11,28,67.45,32.13,0.02,"2,925",30.65,31.25,"2,925",250.00,"11,700",0.62,0.68,"8,775",0.05,0.66,57.35,636,96,"1,547",
,108,-2,5,57.21,29.25,2.38,"8,775",26.64,29.72,"2,925",252.50,"2,925",0.69,0.76,"2,925",0.06,0.72,54.63,69,-8,151,
,295,-6,7,62.94,27.45,0.19,"2,925",25.17,26.44,"2,925",255.00,"5,850",0.79,0.84,"5,850",0.05,0.80,52.09,379,56,354,
,247,-,1,81.35,27.20,7.75,"2,925",22.23,24.89,"2,925",257.50,"5,850",0.91,0.95,"2,925",0.06,0.91,49.79,173,1,259,
,730,-37,72,35.63,21.23,-1.05,"2,925",20.00,21.49,"2,925",260.00,"8,775",1.07,1.09,"8,775",0.06,1.07,47.87,669,-17,767,
,119,-,-,51.56,19.85,-0.17,"8,775",17.20,20.46,"8,775",262.50,"2,925",1.21,1.37,"2,925",0.07,1.26,45.92,123,-7,139,
,310,-39,91,47.34,17.73,0.10,"2,925",15.94,16.98,"2,925",265.00,"2,925",1.49,1.56,"2,925",0.10,1.54,44.47,610,18,462,
,91,-,-,45.47,15.29,-0.01,"8,775",12.96,15.70,"2,925",267.50,"2,925",1.81,2.01,"2,925",0.08,1.87,42.91,118,1,194,
,571,5,506,37.48,12.74,-0.73,"2,925",12.55,12.77,"2,925",270.00,"2,925",2.31,2.42,"2,925",0.14,2.37,42.16,"1,004",-14,876,
,159,-15,67,41.85,11.46,-0.33,"2,925",10.53,10.93,"2,925",272.50,"8,775",2.87,3.00,"2,925",0.21,2.95,41.19,274,7,243,
,601,-7,267,35.14,8.86,-0.92,"5,850",8.81,9.04,"2,925",275.00,"5,850",3.60,3.70,"2,925",0.14,3.60,39.88,"1,058",-20,511,
,234,-18,204,34.62,7.22,-1.00,"2,925",6.52,7.74,"5,850",277.50,"2,925",4.42,4.68,"2,925",0.24,4.53,39.58,246,-23,229,
