CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"8,000.00",-,60,"12,512.75","16,629.05",90,"43,000.00",30,19.65,20.00,120,-1.55,20.00,38.85,170,9,466,
,-,-,-,-,-,-,60,"12,140.00","14,358.95",870,"43,500.00",60,18.90,-,-,20.00,20.05,37.45,11,11,11,
,15,-,-,-,"13,104.55",-,60,"11,936.65","13,689.60",60,"44,000.00",60,26.90,29.00,30,-2.95,26.90,37.48,35,14,66,
,-,-,-,-,-,-,60,"11,078.95","13,324.45",870,"44,500.00","22,170",20.15,-,-,20.10,20.15,34.69,11,11,11,
,-,-,-,-,-,-,870,"10,676.10","12,605.30",870,"45,000.00",30,37.00,39.95,150,-1.60,37.50,36.31,297,62,340,
,-,-,-,-,-,-,60,"10,335.80","12,542.80",60,"45,300.00","1,800",20.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,90,"10,237.35","12,444.90",870,"45,400.00","1,800",20.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"10,223.25","12,130.85",870,"45,500.00",30,41.00,-,-,19.60,40.80,35.29,127,29,30,
,-,-,-,-,-,-,870,"10,045.70","12,166.55",870,"45,600.00","2,730",20.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,90,"9,955.15","11,961.25",870,"45,700.00","1,860",20.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"9,845.60","12,005.35",870,"45,800.00","2,730",20.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"9,757.70","11,855.70",870,"45,900.00","2,760",20.75,-,-,-,-,-,-,-,-,
,77,1,2,50.50,"11,350.00","3,903.10",60,"10,187.55","10,800.00",30,"46,000.00",30,43.25,46.80,30,1.85,46.00,34.45,240,31,294,
,-,-,-,-,-,-,90,"9,576.80","11,706.40",870,"46,100.00","2,760",20.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,486.40","11,570.20",870,"46,200.00","5,760",21.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"9,391.00","11,422.90",870,"46,300.00","5,760",21.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,90,"9,304.20","11,299.60",60,"46,400.00","5,730",21.35,-,-,-,-,-,-,-,-,
,108,-,-,-,"10,300.00",-,870,"9,137.15","10,700.15",60,"46,500.00",30,50.00,57.95,240,4.50,57.00,34.14,63,30,170,
,-,-,-,-,-,-,60,"9,271.00","11,102.50",60,"46,600.00","67,740",21.70,-,-,21.35,21.50,29.23,30,30,30,
,-,-,-,-,-,-,60,"9,034.55","11,036.80",870,"46,700.00","5,760",21.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,945.85","10,944.55",870,"46,800.00","4,860",22.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"8,843.55","10,787.35",60,"46,900.00","5,760",22.35,-,-,-,-,-,-,-,-,
