CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,300,"12,817.90","14,163.30",300,"43,000.00",600,2.15,2.40,600,0.45,2.20,63.61,"2,354",-321,"3,686",
,-,-,-,-,-,-,300,"12,329.10","13,640.40",300,"43,500.00",60,3.00,3.70,540,1.25,2.95,62.82,"1,837",-535,"1,849",
,345,-2,3,123.04,"13,016.00",642.00,300,"11,994.25","12,610.80",120,"44,000.00","5,130",3.50,3.90,810,2.00,3.90,61.96,"4,345","-1,085","7,406",
,23,2,12,-,"11,992.75",182.75,60,"11,827.30","12,163.40",300,"44,500.00",30,3.10,4.05,840,1.80,3.95,59.51,655,-1,"1,480",
,838,-,-,-,"11,496.00",-,330,"11,096.95","12,027.20",300,"45,000.00",390,3.55,4.60,120,2.15,4.60,57.88,"5,373","-1,648","5,765",
,-,-,-,-,-,-,870,"10,765.70","11,790.75",300,"45,300.00",300,2.65,8.20,300,2.15,5.30,57.20,134,60,246,
,-,-,-,-,-,-,870,"10,643.60","11,686.65",300,"45,400.00",510,3.50,6.50,600,1.20,4.50,55.74,32,29,36,
,7,-,-,-,"10,605.80",-,300,"10,426.90","11,624.60",300,"45,500.00",120,4.05,4.75,240,1.05,4.45,55.17,"2,277",279,"2,118",
,-,-,-,-,-,-,870,"10,456.05","11,481.40",300,"45,600.00",300,3.70,7.45,60,-,-,-,-,-,-,
,-,-,-,-,-,-,300,"10,389.30","11,374.20",300,"45,700.00",300,3.70,7.45,30,7.25,7.45,57.23,27,1,1,
,-,-,-,-,-,-,300,"10,289.95","11,254.35",300,"45,800.00",300,3.70,7.45,60,-,-,-,-,-,-,
,16,-,2,76.26,"10,850.95","5,712.45",300,"9,963.25","10,965.60",60,"45,900.00","1,200",4.40,5.40,270,1.45,5.55,54.42,334,38,78,
