CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,60,"12,553.50","15,350.75",870,"43,000.00","16,200",42.90,-,-,-,22.90,28.97,-,-,5,
,-,-,-,-,-,-,60,"12,077.65","14,804.20",870,"43,500.00","21,900",22.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"11,613.80","14,074.80",870,"44,000.00","39,900",24.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"11,152.20","13,703.30",870,"44,500.00","19,200",25.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"10,691.55","13,011.15",870,"45,000.00",30,98.80,110.00,150,2.10,100.00,31.40,35,-11,318,
,-,-,-,-,-,-,60,"10,406.45","12,720.35",870,"45,300.00","5,460",30.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"10,314.80","12,720.55",870,"45,400.00","10,800",31.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"10,221.55","12,502.15",870,"45,500.00","12,000",32.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"10,131.50","12,541.50",870,"45,600.00","11,700",33.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"10,034.90","12,420.20",870,"45,700.00","9,960",34.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,942.00","12,181.65",870,"45,800.00","9,960",35.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,849.95","12,188.35",870,"45,900.00","12,600",36.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,758.80","12,075.15",870,"46,000.00",150,109.45,137.90,90,5.00,130.00,30.54,59,16,178,
,-,-,-,-,-,-,60,"9,663.80","11,994.55",870,"46,100.00","16,200",38.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,571.70","11,884.35",870,"46,200.00","4,560",40.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,480.25","11,785.20",870,"46,300.00","3,660",42.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,387.50","11,681.05",870,"46,400.00","4,560",43.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,295.00","11,574.90",30,"46,500.00",150,127.60,156.95,150,-35.20,121.20,28.93,5,-,159,
,-,-,-,-,-,-,60,"9,202.70","11,378.45",870,"46,600.00","4,560",47.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,109.70","11,276.10",30,"46,700.00","4,560",49.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"9,019.00","11,294.65",870,"46,800.00","4,560",51.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,930.65","11,190.45",870,"46,900.00","4,560",53.00,-,-,-,-,-,-,-,-,
,1,-,-,-,"10,200.00",-,60,"8,739.75","10,918.60",870,"47,000.00","1,800",62.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,741.00","10,858.65",870,"47,100.00","4,560",57.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,653.55","10,877.30",870,"47,200.00","4,560",59.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,559.50","10,776.95",870,"47,300.00","4,560",62.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,469.30","10,678.30",30,"47,400.00","4,560",64.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,378.15","10,567.20",870,"47,500.00","8,160",64.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,281.85","10,335.30",870,"47,600.00","4,560",70.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,192.30","10,365.00",870,"47,700.00","4,560",75.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,096.05","10,255.75",870,"47,800.00","4,560",79.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"8,003.45","10,159.50",870,"47,900.00","4,560",84.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,60,"7,911.15","10,050.45",870,"48,000.00",180,218.00,219.95,30,12.50,212.35,28.69,291,15,502,
