CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,3,3,-,885.00,540.00,450,876.75,939.05,300,"3,700.00",300,5.15,14.65,300,-,-,-,-,-,-,
,-,-,-,-,-,-,300,781.70,844.15,150,"3,800.00",300,5.80,19.20,300,-,-,-,-,-,-,
,-,-,-,-,-,-,300,734.95,797.25,150,"3,850.00",300,7.10,22.05,300,-,-,-,-,-,-,
,-,-,-,-,-,-,150,690.75,750.85,150,"3,900.00",300,21.50,28.00,150,2.45,24.95,42.48,5,5,19,
,-,-,-,-,-,-,450,644.45,705.15,300,"3,950.00",150,17.30,33.00,300,-8.85,26.75,40.88,3,3,12,
,1,1,1,-,620.00,426.70,450,601.45,655.40,450,"4,000.00",150,19.80,33.00,150,0.20,30.30,39.89,35,22,53,
,-,-,-,-,-,-,150,567.30,614.95,450,"4,050.00",150,31.00,38.35,300,-10.90,38.35,40.27,8,8,12,
,2,2,2,-,535.00,379.20,150,520.15,618.15,450,"4,100.00",150,33.15,44.05,150,-4.00,41.00,38.56,9,2,22,
,-,-,-,-,-,-,150,474.35,530.10,150,"4,150.00",300,48.15,-,-,-34.75,56.15,40.32,2,2,6,
,-,-,-,-,-,-,300,435.55,488.90,450,"4,200.00",150,51.25,59.95,150,4.35,60.20,38.61,64,13,74,
,-,-,-,-,-,-,450,392.90,449.15,600,"4,250.00",300,64.85,103.30,150,-,85.80,43.41,-,-,2,
,-,-,-,-,-,-,750,348.45,410.40,600,"4,300.00",750,59.00,98.70,300,-0.40,86.60,38.96,15,8,13,
,4,-,-,-,235.25,-,450,310.95,372.80,750,"4,350.00",300,87.30,116.05,150,-313.45,102.00,39.07,4,4,4,
,5,3,3,30.10,317.50,-22.50,150,276.20,336.35,450,"4,400.00",300,90.05,108.95,150,2.55,102.00,35.77,9,3,13,
,-,-,-,-,-,-,750,241.45,303.10,750,"4,450.00",750,88.20,143.25,300,-,-,-,-,-,-,
,52,-3,48,28.35,243.00,-17.00,150,232.40,263.00,300,"4,500.00",150,127.50,144.50,300,-8.00,132.00,34.51,4,4,5,
,-,-,-,-,-,-,150,184.25,242.20,750,"4,550.00",750,125.90,187.30,300,-,-,-,-,-,-,
,95,21,69,27.80,183.00,-25.30,300,182.55,192.45,150,"4,600.00",150,170.70,179.95,300,8.90,180.00,35.20,118,-8,160,
,-,-,-,-,-,-,150,131.50,191.40,300,"4,650.00",750,173.70,235.30,750,24.00,225.00,38.67,1,-1,1,
,58,2,26,29.44,145.00,-13.50,150,121.05,146.55,150,"4,700.00",450,166.05,255.45,150,-567.70,240.00,36.59,2,2,2,
,35,33,68,28.40,118.90,24.25,150,115.85,131.15,150,"4,750.00",450,231.55,285.95,450,-,-,-,-,-,-,
,106,-1,52,29.41,106.50,-9.75,150,100.60,113.45,150,"4,800.00",450,279.55,317.85,450,33.95,327.50,41.58,6,4,10,
,11,1,1,26.45,75.00,-21.65,300,67.05,90.65,300,"4,850.00",750,298.60,358.85,450,-173.00,327.20,35.80,1,1,1,
,11,1,1,31.82,88.55,-,300,59.20,99.60,300,"4,900.00",450,334.75,396.60,750,-,-,-,-,-,-,
,5,-,2,29.90,66.30,17.30,150,60.35,69.70,150,"4,950.00",450,373.00,428.40,150,-,-,-,-,-,-,
,149,58,239,29.92,55.55,-7.40,750,54.00,57.90,150,"5,000.00",450,413.05,467.60,150,-,640.70,-,-,-,2,
,-,-,-,-,-,-,300,37.40,47.60,300,"5,050.00",450,454.05,516.05,150,-,-,-,-,-,-,
,41,9,52,30.47,40.25,-6.75,300,26.35,51.30,150,"5,100.00",450,497.30,558.50,600,-,-,-,-,-,-,
,21,21,54,30.70,28.00,20.40,300,27.10,30.00,300,"5,200.00",450,584.20,639.70,150,-,-,-,-,-,-,
