CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-1,1,-,"1,485.00",670.00,-,-,-,-,"3,100.00",-,-,-,-,-,-,-,-,-,-,
,24,-,-,-,"1,117.50",-4.25,150,"1,369.25","1,427.05",150,"3,200.00",600,0.30,0.90,900,-,0.60,93.63,-,-,158,
,19,-,-,114.72,"1,391.40",-,150,"1,318.40","1,379.90",150,"3,250.00",750,0.20,2.40,"2,250",-,2.80,-,-,-,1,
,3,-,-,-,"1,113.65",-,150,"1,268.65","1,327.45",150,"3,300.00",150,0.40,1.80,150,0.30,0.95,89.40,1,-1,25,
,-,-,-,-,-,-,-,-,-,-,"3,350.00",900,0.30,2.40,150,-,1.20,-,-,-,12,
,23,-,-,-,908.95,-,150,"1,170.45","1,227.90",150,"3,400.00",150,0.50,1.60,150,-0.30,0.55,77.39,5,-,49,
,3,-,-,-,"1,100.00",-,150,"1,119.55","1,178.45",150,"3,450.00",750,0.40,2.70,"2,250",-,1.90,-,-,-,15,
,-,-,-,-,-,-,-,-,-,-,"3,500.00",600,1.15,2.45,"2,400",-0.15,1.15,76.76,7,-6,99,
,5,-,-,-,761.45,-,450,"1,019.95","1,078.60",150,"3,550.00","1,800",1.00,1.50,150,-0.40,1.10,72.82,3,-,42,
,15,-,-,-,903.45,-,450,970.15,"1,025.00",150,"3,600.00",300,1.00,1.55,450,-0.75,1.20,70.06,50,-9,162,
,5,-,-,-,716.40,-,450,920.40,976.30,150,"3,650.00",150,0.75,2.00,150,-0.30,1.35,67.55,60,-14,116,
,89,-,-,-,744.25,-,450,870.80,929.45,150,"3,700.00","3,300",1.50,2.15,150,-0.80,1.55,65.20,45,-20,"1,214",
,8,-,-,-,565.65,-,450,820.90,879.30,150,"3,750.00",900,1.40,1.55,150,-0.50,1.55,61.67,50,14,50,
,147,-1,1,66.02,812.00,191.00,450,780.10,827.25,150,"3,800.00",150,1.65,2.20,150,-0.80,1.70,58.91,123,-85,278,
,15,-,-,-,754.60,-,450,721.60,777.75,150,"3,850.00","1,050",2.05,2.85,150,-0.80,2.05,56.88,27,4,97,
,436,-,1,50.85,710.00,-43.00,450,638.95,730.35,150,"3,900.00",150,1.95,2.95,150,-1.30,1.95,52.94,165,-32,624,
,150,-1,2,-,642.00,132.95,450,626.25,678.55,150,"3,950.00",300,2.60,3.30,300,-1.65,2.60,51.61,90,-7,248,
,318,-1,5,73.72,630.00,-5.00,300,543.20,611.20,150,"4,000.00",300,3.35,3.80,300,-1.80,3.50,50.38,"1,048",11,"1,074",
,"1,016",-,8,40.97,560.40,-9.60,450,522.85,576.40,150,"4,050.00",300,3.95,6.30,150,-1.75,3.90,47.52,81,-36,143,
,280,-1,1,-,500.00,-33.70,150,497.15,528.25,150,"4,100.00",150,4.80,5.70,450,-2.35,5.30,46.31,522,266,782,
,222,-1,1,-,446.70,21.25,150,450.15,480.55,150,"4,150.00",150,6.25,7.55,150,-2.70,7.25,45.19,168,-62,145,
,317,-,36,47.39,422.40,-27.70,150,402.40,431.40,150,"4,200.00",300,8.85,9.70,150,-2.60,9.60,43.78,698,-40,"1,213",
,457,-1,3,48.00,379.00,-24.95,150,357.55,384.50,150,"4,250.00",150,10.55,11.85,150,-2.75,11.25,41.04,280,-79,553,
,402,-8,22,36.84,321.00,-36.80,150,311.90,325.10,150,"4,300.00",150,14.50,15.05,150,-2.60,14.55,39.27,802,75,733,
,227,-2,6,29.72,268.10,-44.15,150,265.75,292.70,300,"4,350.00",150,18.05,19.20,150,-2.65,18.90,37.49,631,115,552,
,435,-24,94,30.43,225.40,-42.90,150,224.50,231.40,150,"4,400.00",150,24.45,25.45,150,-2.35,25.20,36.02,"1,211",-70,701,
,278,-35,71,39.32,203.60,-21.40,150,182.95,188.65,150,"4,450.00",150,32.60,34.60,150,-0.25,34.50,35.01,551,-22,342,
,605,-137,686,30.39,148.00,-39.70,750,147.05,152.85,150,"4,500.00",300,40.10,46.90,300,0.85,46.00,33.73,"1,784",-182,723,
,306,-10,385,30.71,116.30,-35.50,150,115.00,118.10,150,"4,550.00",150,61.25,63.85,150,3.15,63.85,33.61,"1,117",-42,343,
,"1,331",29,"3,451",30.57,88.10,-34.20,300,88.00,88.55,150,"4,600.00",300,84.00,86.10,150,5.85,85.35,33.28,"2,223",-236,666,
,535,-13,"1,556",30.19,64.00,-31.45,300,63.90,67.85,150,"4,650.00",150,109.25,113.80,150,10.70,112.70,33.51,"1,063",16,189,
,922,-5,"2,916",31.10,47.85,-25.60,300,47.85,48.75,150,"4,700.00",150,140.95,146.05,150,16.85,147.90,35.17,365,-83,157,
,273,-24,485,30.97,33.15,-23.10,300,33.80,35.75,150,"4,750.00",150,175.85,186.05,150,-168.45,176.55,32.66,5,-,7,
,861,-50,"2,088",32.10,24.55,-17.35,300,24.20,24.95,300,"4,800.00",150,214.10,226.15,300,47.95,250.00,48.55,2,-2,83,
