CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,00,000",66.05,79.45,"1,00,000",225.00,"25,000",0.10,2.25,"25,000",-,-,-,-,-,-,
,2,2,2,26.50,66.75,-3.25,"1,00,000",61.40,-,-,230.00,-,-,19.75,"1,00,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,00,000",56.65,69.25,"1,00,000",235.00,"25,000",0.15,2.40,"25,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,000",56.95,65.55,"1,00,000",237.50,"10,000",0.25,2.40,"10,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,000",54.55,58.90,"5,000",240.00,"10,000",0.45,2.50,"10,000",-,0.70,40.94,-,-,39,
,-,-,-,-,-,-,"5,000",52.15,56.50,"5,000",242.50,"10,000",0.35,2.40,"5,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,000",49.80,54.10,"5,000",245.00,"10,000",0.35,1.95,"10,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"10,000",47.80,51.60,"5,000",247.50,"10,000",0.40,1.25,"5,000",-,-,-,-,-,-,
,6,4,4,-,46.40,9.15,"5,000",46.35,48.65,"5,000",250.00,"10,000",0.75,1.10,"5,000",-0.25,1.05,38.58,10,7,25,
,-,-,-,-,-,-,"10,000",43.00,46.90,"5,000",252.50,"10,000",0.55,1.85,"10,000",-,-,-,-,-,-,
,3,2,2,30.01,42.50,3.25,"10,000",41.20,44.45,"10,000",255.00,"10,000",0.80,2.05,"10,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,000",38.50,42.20,"5,000",257.50,"10,000",0.95,2.00,"5,000",-,-,-,-,-,-,
,10,2,2,40.31,39.50,11.40,"10,000",37.15,39.05,"10,000",260.00,"10,000",1.75,1.90,"15,000",-0.35,1.85,36.88,30,-,50,
