CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,215.00,-,-,0.05,"45,000",-,0.05,89.03,3,-3,31,
,-,-,-,-,-,-,-,-,-,-,217.50,-,-,0.10,"10,000",-,0.70,-,-,-,2,
,13,-2,2,-,74.75,24.45,"1,00,000",70.55,75.35,"5,000",220.00,-,-,0.10,"6,15,000",-,0.05,83.15,9,-6,104,
,-,-,-,-,-,-,"5,000",65.65,70.35,"5,000",225.00,-,-,0.10,"2,25,000",-0.05,0.05,77.38,3,-3,44,
,-,-,-,-,-,-,-,-,-,-,227.50,-,-,0.10,"5,000",-0.05,0.05,74.52,2,-1,6,
,-,-1,1,118.83,66.20,24.95,"5,000",60.65,65.40,"5,000",230.00,"65,000",0.05,0.10,"90,000",-,0.10,77.96,2,-,40,
,-,-,-,-,-,-,-,-,-,-,232.50,-,-,0.20,"10,000",-,0.10,74.95,1,-,29,
,-,-,-,-,-,-,"5,000",57.50,60.40,"5,000",235.00,"60,000",0.05,0.20,"5,000",-,0.10,71.97,1,-1,22,
,-,-,-,-,-,-,"5,000",55.05,58.10,"5,000",237.50,-,-,0.25,"5,000",-3.80,0.20,76.08,1,-1,7,
,49,-4,4,111.92,56.75,3.45,"5,000",52.55,55.30,"5,000",240.00,"22,45,000",0.05,0.10,"1,35,000",-0.05,0.10,66.06,37,-10,467,
,-,-,-,-,-,-,"5,000",50.05,52.90,"5,000",242.50,"2,15,000",0.05,0.30,"30,000",-,0.30,-,-,-,15,
,7,-,-,-,47.10,-,"5,000",47.60,50.35,"5,000",245.00,"20,000",0.10,0.15,"15,000",-0.05,0.15,63.77,2,-1,43,
,-,-,-,-,-,-,"5,000",45.10,47.90,"5,000",247.50,"1,10,000",0.05,0.30,"15,000",-,0.20,58.73,-,-,34,
,64,-,4,52.04,45.10,11.05,"5,000",43.65,45.00,"5,000",250.00,"19,00,000",0.10,0.15,"1,85,000",-0.15,0.10,54.47,82,25,211,
,-,-,-,-,-,-,"5,000",40.15,43.00,"5,000",252.50,"5,000",0.15,0.25,"5,000",-0.15,0.15,54.73,2,-,46,
,39,-,-,-,34.05,-,"5,000",37.70,40.55,"5,000",255.00,"4,70,000",0.15,0.25,"1,10,000",-0.05,0.20,54.15,67,-2,135,
,49,-,-,-,26.30,-,"5,000",35.25,38.05,"5,000",257.50,"15,000",0.15,0.35,"5,000",-,0.35,56.37,1,-,99,
