CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"9,450",21.74,60.47,"3,150",118.00,"3,150",0.02,1.01,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,450",20.07,58.39,"3,150",120.00,"9,450",0.12,1.01,"3,150",-,0.69,-,-,-,10,
,-,-,-,-,-,-,"9,450",17.72,-,-,122.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"9,450",18.98,-,-,124.00,"50,400",0.01,19.62,"47,250",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,450",15.79,51.02,"3,150",126.00,"3,150",0.04,15.12,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,450",15.99,46.92,"3,150",128.00,"3,150",0.06,12.31,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,450",13.71,45.80,"3,150",129.00,"3,150",0.08,9.93,"6,300",-,-,-,-,-,-,
,1,-,-,-,25.50,-,"9,450",12.58,48.42,"9,450",130.00,"9,450",0.41,1.04,"3,150",-,1.20,-,-,-,14,
,-,-,-,-,-,-,"9,450",8.78,47.76,"3,150",131.00,"3,150",0.12,9.81,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",25.69,44.95,"3,150",132.00,"6,300",0.14,9.11,"3,150",-,1.48,-,-,-,2,
,-,-,-,-,-,-,"3,150",24.74,44.07,"3,150",133.00,"3,150",0.18,8.25,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",23.76,43.07,"3,150",134.00,"3,150",0.21,5.91,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",22.81,42.29,"3,150",135.00,"6,300",0.26,15.51,"6,300",-,1.00,-,-,-,3,
,-,-,-,-,-,-,"3,150",21.93,39.04,"3,150",136.00,"6,300",0.32,3.47,"3,150",-,1.72,-,-,-,4,
,-,-,-,-,-,-,"3,150",20.97,40.61,"3,150",137.00,"3,150",0.38,9.43,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",20.04,38.99,"9,450",138.00,"3,150",0.45,5.65,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",19.14,38.62,"9,450",139.00,"6,300",0.54,2.09,"3,150",-,2.53,-,-,-,1,
,7,-,2,37.43,20.10,-0.97,"3,150",18.99,20.32,"6,300",140.00,"3,150",1.10,1.24,"3,150",0.08,1.15,37.29,37,17,70,
,-,-,-,-,-,-,"3,150",17.40,22.07,"3,150",141.00,"3,150",0.74,3.99,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",16.52,33.49,"9,450",142.00,"3,150",0.87,3.61,"3,150",-,2.50,-,-,-,1,
,-,-,-,-,-,-,"3,150",14.69,35.53,"9,450",143.00,"6,300",0.02,4.22,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",14.82,32.39,"9,450",144.00,"3,150",1.17,1.92,"3,150",-,2.20,-,-,-,1,
,2,-,-,-,8.02,-,"3,150",14.46,15.81,"3,150",145.00,"3,150",1.66,1.83,"3,150",0.02,1.74,34.78,64,32,48,
,-,-,-,-,-,-,"3,150",13.60,16.09,"3,150",146.00,"3,150",1.55,3.09,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",12.83,14.99,"3,150",147.00,"3,150",1.76,3.00,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",12.03,25.92,"3,150",148.00,"3,150",2.00,2.95,"3,150",-,-,-,-,-,-,
