CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,112.00,"37,800",0.01,0.03,"6,300",-,0.04,100.27,29,-6,93,
,-,-,-,-,-,-,-,-,-,-,115.00,"3,150",0.03,0.10,"3,150",-0.17,0.03,90.25,6,-4,79,
,1,-,-,-,25.82,-,-,-,-,-,116.00,-,-,-,-,-,-,-,-,-,-,
,15,-,1,84.77,39.86,5.05,"6,300",38.34,40.45,"6,300",118.00,"3,150",0.02,2.34,"47,250",-,0.43,-,-,-,1,
,3,-,-,-,23.07,-,"6,300",37.34,39.46,"6,300",119.00,"3,150",0.02,1.66,"66,150",-,0.09,-,-,-,44,
,39,-,-,-,33.68,-,"6,300",36.35,38.46,"9,450",120.00,"12,600",0.04,0.07,"59,850",-0.01,0.05,84.21,21,6,256,
,-,-,-,-,-,-,"6,300",35.36,37.47,"6,300",121.00,"3,150",0.02,1.50,"50,400",-,0.06,79.13,-,-,32,
,17,-,-,-,31.68,-,"6,300",34.37,36.48,"6,300",122.00,"6,300",0.02,19.05,"47,250",-,0.19,-,-,-,131,
,1,-,-,-,30.85,-,"6,300",33.38,35.49,"6,300",123.00,"6,300",0.02,17.51,"1,10,250",-,0.16,-,-,-,13,
,6,-,-,-,30.56,-,"9,450",32.39,34.50,"6,300",124.00,"18,900",0.03,0.28,"1,13,400",-0.02,0.10,82.65,4,-3,88,
,4,-,-,-,29.38,-,"9,450",31.40,33.25,"6,300",125.00,"15,750",0.08,0.11,"15,750",-,0.08,77.72,22,-7,129,
,5,-,-,-,18.32,-,"9,450",30.41,32.52,"6,300",126.00,"3,150",0.03,1.83,"47,250",-,0.23,-,-,-,18,
,-,-,-,-,-,-,-,-,-,-,127.00,"6,300",0.06,1.23,"47,250",-,0.30,-,-,-,34,
,-,-,-,-,-,-,"9,450",28.43,30.53,"9,450",128.00,"3,150",0.04,2.16,"47,250",-,0.12,-,-,-,12,
,7,-,-,-,25.07,-,"9,450",27.43,29.54,"9,450",129.00,"9,450",0.05,2.11,"3,150",-,0.35,-,-,-,87,
,44,-,-,-,27.75,-,"9,450",26.45,28.55,"9,450",130.00,"18,900",0.10,0.25,"3,150",-0.02,0.11,69.45,297,-22,"1,273",
