CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,116.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,120.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,124.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,128.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,130.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,132.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,134.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,136.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,138.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",5.10,-,-,140.00,"3,150",1.60,3.05,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",5.00,-,-,142.00,"9,450",0.10,19.90,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",5.00,-,-,144.00,"9,450",0.10,19.90,"6,300",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",5.00,-,-,146.00,"9,450",0.10,19.90,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",3.00,-,-,148.00,"9,450",0.10,19.90,"3,150",-,-,-,-,-,-,
,-,-,-,-,-,-,"12,600",8.55,-,-,150.00,"9,450",1.74,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",2.00,-,-,152.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"47,250",0.01,-,-,154.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",1.00,-,-,156.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"47,250",0.01,-,-,158.00,"47,250",0.01,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",6.50,-,-,160.00,"6,300",3.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"9,450",1.25,-,-,162.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"6,300",1.25,-,-,164.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"15,750",1.25,-,-,166.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"9,450",1.25,-,-,168.00,-,-,-,-,-,-,-,-,-,-,
,1,-,1,26.93,3.90,0.40,"3,150",3.65,4.30,"3,150",170.00,"3,150",13.40,15.60,"3,150",21.00,31.00,92.98,1,1,2,
,-,-,-,-,-,-,"6,300",0.41,-,-,172.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",0.36,-,-,174.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"47,250",0.01,-,-,176.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,150",0.70,-,-,180.00,-,-,-,-,-,-,-,-,-,-,
