CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,610.00,"53,900",0.10,0.15,"12,650",-0.10,0.15,77.21,202,-58,661,
,-,-,-,-,-,-,"1,650",168.80,179.45,"1,650",620.00,"1,96,350",0.10,0.15,"32,450",-0.15,0.10,69.73,172,-112,714,
,-,-,-,-,-,-,-,-,-,-,625.00,"22,000",0.10,0.20,"5,500",-0.05,0.20,73.33,38,-,58,
,-,-,-,-,-,-,"1,650",158.90,169.00,"1,650",630.00,"12,650",0.10,0.20,"1,100",-0.15,0.15,68.77,29,-23,188,
,-,-,-,-,-,-,-,-,-,-,635.00,"25,850",0.10,0.20,"4,400",-0.35,0.15,66.69,37,2,143,
,70,-,-,-,130.90,-,"2,200",148.95,159.55,"1,650",640.00,"2,200",0.10,0.15,"3,850",-0.20,0.10,61.70,59,-7,216,
,-,-,-,-,-,-,-,-,-,-,645.00,"70,950",0.10,0.35,550,-0.05,0.30,68.29,54,16,153,
,538,-,-,-,151.00,-,"6,050",141.50,147.80,"6,050",650.00,"55,550",0.15,0.20,"1,57,850",-0.15,0.20,62.69,575,-189,"1,816",
,-,-,-,-,-,-,-,-,-,-,655.00,"65,450",0.10,0.35,550,-0.20,0.20,60.59,96,-27,119,
,612,-,-,-,132.60,-,"6,050",131.75,138.00,"6,050",660.00,"4,400",0.25,0.30,"6,050",-0.20,0.25,60.22,474,-70,398,
,-,-,-,-,-,-,-,-,-,-,665.00,"6,050",0.15,0.20,"1,100",-0.40,0.15,54.43,276,-122,88,
,170,-,-,-,142.00,-,550,122.05,127.40,550,670.00,"13,750",0.20,0.30,"3,300",-0.30,0.25,55.98,541,-48,782,
,340,-,-,-,129.40,-,"5,500",114.20,123.10,"5,500",675.00,"24,750",0.35,0.40,"1,650",-0.25,0.35,56.47,370,-115,352,
,650,-,-,-,132.00,-,550,112.25,118.25,"6,050",680.00,"3,300",0.35,0.45,"8,250",-0.20,0.40,55.37,980,-94,"1,897",
,-,-,-,-,-,-,"2,200",104.30,114.50,"1,650",685.00,"2,200",0.45,0.55,"1,100",-0.20,0.55,55.89,306,-45,157,
,445,-,9,-,104.40,-9.20,550,104.20,105.30,550,690.00,"5,500",0.50,0.55,"1,650",-0.25,0.55,53.60,924,-220,703,
,25,-,-,-,105.20,-,"2,750",94.50,104.75,"1,650",695.00,"1,650",0.60,0.65,550,-0.25,0.65,52.78,278,-20,345,
,933,-7,48,-,96.00,-5.60,550,93.15,96.00,550,700.00,"1,650",0.60,0.70,"40,700",-0.30,0.70,51.11,"3,774",-351,"4,107",
,95,-,-,-,96.25,-,"2,750",84.65,94.65,"1,650",705.00,550,0.65,0.85,550,-0.35,0.75,49.37,181,3,351,
,347,-,-,-,100.00,-,"5,500",79.85,88.65,"5,500",710.00,"3,850",0.75,0.85,"7,700",-0.40,0.80,47.56,770,40,970,
,245,-,-,-,103.75,-0.15,"5,500",77.30,82.75,"5,500",715.00,"6,050",0.90,0.95,"1,650",-0.40,0.95,46.70,334,-15,219,
,236,-292,310,-,75.60,-7.40,"1,100",73.60,76.55,550,720.00,"9,350",1.00,1.05,"8,800",-0.45,1.05,45.16,"2,675",68,"2,435",
,326,-,-,-,73.40,-,"6,050",67.45,73.70,"5,500",725.00,"4,400",1.10,1.20,"8,800",-0.55,1.15,43.50,624,2,739,
,874,-8,33,35.94,67.20,-6.40,"1,100",64.55,66.15,550,730.00,"7,700",1.30,1.40,"12,100",-0.65,1.30,42.10,"3,460",-7,"3,818",
,297,-2,4,-,60.55,-9.65,550,60.50,61.15,550,735.00,"4,950",1.50,1.60,"5,500",-0.65,1.50,40.87,"1,474",-94,551,
,872,-296,413,-,56.00,-8.20,550,55.60,56.35,550,740.00,"8,250",1.70,1.80,"8,800",-0.75,1.75,39.72,"4,559",-530,"2,459",
,417,-46,91,-,51.55,-7.60,550,49.55,51.60,550,745.00,"7,150",1.95,2.05,"3,850",-0.85,2.00,38.32,"1,639",-111,701,
,"4,643",-250,"1,175",-,46.50,-8.00,550,46.30,46.80,550,750.00,"8,800",2.35,2.45,"6,600",-0.95,2.40,37.41,"9,091","-1,202","6,001",
,594,-63,151,20.60,41.90,-8.30,550,41.75,42.30,550,755.00,"4,400",2.70,2.80,"4,400",-1.10,2.75,35.96,"1,634",-189,802,
,"2,402",-119,"1,408",25.15,37.75,-8.35,550,37.45,37.85,550,760.00,"2,750",3.30,3.35,550,-1.25,3.35,35.20,"6,302",167,"2,950",
,795,-64,298,26.07,33.50,-8.90,550,33.10,33.45,550,765.00,"1,650",4.00,4.10,"6,050",-1.40,4.05,34.37,"5,447",24,"1,210",
,"2,648",-225,"1,747",25.77,29.20,-9.20,550,29.15,29.35,"1,100",770.00,"3,300",4.85,5.00,"3,850",-1.50,4.95,33.72,"16,394",17,"3,157",
,979,-120,775,26.84,25.55,-8.65,550,25.15,25.45,550,775.00,"6,050",6.00,6.05,550,-1.50,6.10,33.29,"6,960",-146,"1,657",
,"5,647",177,"7,358",26.39,21.70,-9.15,550,21.65,21.85,"1,100",780.00,"5,500",7.40,7.55,"2,200",-1.65,7.40,32.70,"16,993",-247,"3,841",
,"1,074",147,"2,975",26.65,18.40,-8.80,"2,750",18.30,18.60,"1,100",785.00,550,9.15,9.25,"1,100",-1.50,9.20,32.79,"8,819",678,"2,119",
,"4,421",113,"18,791",27.30,15.60,-8.60,550,15.50,15.60,550,790.00,"1,100",11.15,11.25,550,-1.35,11.25,32.82,"24,579","1,452","5,303",
,"2,324",578,"22,215",27.62,13.00,-8.40,"3,300",12.80,13.05,"1,650",795.00,"1,100",13.50,13.70,"3,850",-1.10,13.65,33.03,"14,872",534,"1,987",
,"20,323","2,328","84,485",27.75,10.65,-8.25,"2,200",10.65,10.75,"12,100",800.00,"5,500",16.30,16.45,550,-0.70,16.40,33.41,"30,700",-732,"7,632",
,"3,340","1,493","20,506",28.54,8.90,-7.65,550,8.80,8.90,"1,100",805.00,"1,100",19.30,19.55,"1,650",-0.25,19.55,34.11,"3,797",149,"1,228",
,"9,835","1,272","33,920",29.02,7.30,-7.20,"1,100",7.20,7.30,"2,750",810.00,"1,650",22.60,22.95,550,-0.15,22.65,34.12,"4,538",-26,"3,252",
,"4,267",560,"12,746",29.22,5.85,-6.80,"3,300",5.80,5.95,550,815.00,550,26.25,26.60,550,0.50,26.35,35.02,"1,527",-238,"1,676",
,"9,366",717,"39,242",29.73,4.75,-6.35,"1,650",4.75,4.85,"16,500",820.00,"2,200",30.25,30.55,550,1.00,30.25,35.97,"1,500",-114,"1,657",
,"1,642",-72,"8,173",30.26,3.85,-5.80,"4,400",3.85,4.00,"7,700",825.00,550,34.25,34.65,550,1.50,34.30,36.89,515,-131,420,
,"4,158","-2,676","23,000",31.10,3.20,-5.30,"6,050",3.20,3.30,"4,400",830.00,550,38.60,39.00,550,1.90,38.60,38.15,478,-110,894,
,"1,055",-337,"3,037",31.87,2.65,-4.70,"6,050",2.65,2.75,"4,400",835.00,550,43.10,43.55,550,3.30,43.60,41.31,146,-47,298,
,"5,797",481,"14,579",33.07,2.30,-4.15,"8,800",2.25,2.35,"4,950",840.00,550,47.65,48.10,550,3.70,48.00,42.41,314,28,818,
,"1,416",207,"3,725",34.23,2.00,-3.60,"1,650",1.95,2.00,"7,150",845.00,"5,500",49.80,57.65,550,-0.40,48.20,40.15,-,-,200,
,"15,907",-762,"28,786",35.11,1.70,-3.20,"67,650",1.65,1.75,"4,950",850.00,550,57.05,57.65,550,4.25,57.00,44.50,436,45,"1,643",
,"1,062",378,"2,040",35.68,1.40,-2.80,"6,600",1.35,1.45,"7,150",855.00,"5,500",58.10,65.10,"5,500",-,59.65,-,-,-,59,
,"3,751",723,"6,407",36.22,1.15,-2.45,"1,100",1.15,1.20,"15,950",860.00,550,65.75,67.90,550,2.00,63.80,32.17,28,-14,929,
,683,109,"1,574",37.58,1.05,-2.10,"8,800",1.00,1.10,"8,250",865.00,"2,750",65.90,76.45,"2,750",-,58.05,-,-,-,46,
,"3,038",124,"4,848",38.38,0.90,-1.80,"11,000",0.85,0.90,"21,450",870.00,"1,100",75.35,77.70,550,2.40,73.10,-,4,-1,431,
,691,-7,720,39.43,0.80,-1.55,"2,750",0.75,0.80,"3,850",875.00,550,80.00,83.10,"2,750",-3.95,74.00,-,1,-,68,
,"2,814",-877,"4,131",39.78,0.65,-1.35,"9,900",0.65,0.70,"4,950",880.00,"1,100",85.70,86.75,550,5.60,85.55,52.74,7,-1,"1,014",
,443,-70,898,41.03,0.60,-1.20,"4,950",0.60,0.65,"19,800",885.00,"5,500",87.15,93.25,"5,500",-,83.45,-,-,-,51,
,970,-44,"2,585",42.19,0.55,-1.00,"41,800",0.55,0.60,"22,000",890.00,550,94.70,105.45,550,-1.15,88.20,-,5,-1,91,
,657,154,645,43.94,0.55,-0.85,"3,850",0.50,0.55,"1,100",895.00,"2,750",95.60,106.15,"2,750",-,-,-,-,-,-,
,"14,227","1,651","16,027",44.21,0.45,-0.85,"93,500",0.45,0.50,"1,29,250",900.00,550,105.50,106.35,550,6.75,106.10,64.69,124,-27,"1,898",
,525,-23,525,45.87,0.45,-0.65,"2,200",0.40,0.45,"3,300",905.00,"2,200",105.25,115.85,"2,200",-,156.00,-,-,-,3,
