CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,825,410.45,588.75,275,"1,400.00","2,750",1.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,825,371.05,549.85,275,"1,440.00","13,750",0.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,825,331.90,509.90,275,"1,480.00","2,200",3.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,825,293.30,469.80,275,"1,520.00","1,925",5.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,291.35,370.20,275,"1,540.00","1,925",6.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,275.10,356.50,275,"1,560.00",550,9.75,-,-,-2.30,11.70,48.85,3,2,49,
,-,-,-,-,-,-,275,254.95,331.95,275,"1,580.00","2,475",9.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,235.15,315.85,275,"1,600.00","1,925",9.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,215.35,296.05,275,"1,620.00","1,375",9.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,195.55,276.25,275,"1,640.00","1,650",9.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,825,181.65,256.45,275,"1,660.00",825,16.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,168.95,236.65,275,"1,680.00","2,200",22.30,-,-,-27.80,20.00,41.29,2,-,4,
,-,-,-,-,-,-,825,160.10,216.30,825,"1,700.00",275,34.60,38.80,275,-1.10,34.85,48.20,11,11,13,
,-,-,-,-,-,-,275,138.15,236.40,275,"1,720.00",825,31.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,127.45,255.95,275,"1,740.00",550,40.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,825,111.90,255.40,275,"1,760.00",550,44.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,825,100.30,235.55,275,"1,780.00",825,52.95,-,-,-,-,-,-,-,-,
,1,-,-,-,55.00,-,275,89.75,209.70,275,"1,800.00",550,61.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,77.80,196.00,275,"1,820.00",550,69.65,-,-,-,-,-,-,-,-,
,1,-,-,15.04,78.25,-,275,79.30,-,-,"1,840.00",550,74.00,-,-,-,74.00,44.83,-,-,1,
,-,-,-,-,-,-,825,65.45,152.95,275,"1,860.00",825,81.55,-,-,-44.85,81.50,44.11,2,2,2,
,29,4,11,22.82,67.85,-2.25,550,68.90,87.85,275,"1,880.00",825,74.25,-,-,-,-,-,-,-,-,
,38,22,57,28.65,71.00,-2.60,275,67.85,73.00,825,"1,900.00",825,116.05,135.20,275,-5.00,120.00,52.27,2,2,3,
,2,-,-,27.76,60.00,-,275,41.35,78.95,825,"1,920.00",825,107.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,23.55,111.65,275,"1,940.00",275,93.70,-,-,-,-,-,-,-,-,
,2,2,2,36.66,64.00,28.40,275,23.55,64.00,"1,375","1,960.00",825,113.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,275,23.55,68.20,550,"1,980.00",275,129.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,550,32.20,47.00,"1,375","2,000.00",825,155.45,214.90,275,-,175.00,51.22,-,-,1,
,-,-,-,-,-,-,-,-,-,-,"2,020.00",825,137.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"2,040.00",825,177.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"2,060.00",825,179.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,39.95,825,"2,080.00",825,196.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"13,750",0.05,-,-,"2,120.00",825,239.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"13,750",0.05,-,-,"2,160.00",825,193.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,750",7.65,-,-,"2,200.00",825,226.75,-,-,-,-,-,-,-,-,
