CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,7,-,-,-,460.00,-,550,452.15,471.35,275,"1,400.00",275,0.30,1.00,275,-,1.10,-,-,-,33,
,-,-,-,-,-,-,550,412.50,431.80,275,"1,440.00",275,0.60,1.60,550,-,1.00,83.87,1,-1,22,
,3,-,-,-,289.40,-,550,372.80,394.60,275,"1,480.00",275,0.80,3.55,275,-,1.65,-,-,-,20,
,1,-,-,110.32,383.75,-,825,333.15,352.40,275,"1,520.00","1,375",0.50,3.50,"5,775",-,0.80,67.12,-,-,66,
,-,-,-,-,-,-,825,313.40,334.00,275,"1,540.00",275,0.60,2.35,550,-,2.40,75.29,1,-,11,
,6,-,-,-,301.90,-,825,293.60,314.40,550,"1,560.00",275,1.20,4.80,"9,900",-,1.80,-,-,-,17,
,1,-,-,-,273.55,-,825,273.80,294.50,275,"1,580.00",275,1.00,3.30,"5,500",-,2.50,67.99,-,-,7,
,7,-,-,-,260.00,-,"1,100",254.25,271.65,275,"1,600.00",550,1.60,2.15,275,-1.15,1.55,58.75,25,-12,67,
,3,-,-,-,186.10,-,825,234.35,255.85,275,"1,620.00",275,0.95,4.55,"5,775",-,3.50,-,-,-,4,
,4,-,-,82.41,265.20,-,"1,100",214.65,232.55,275,"1,640.00",275,1.10,3.55,275,-,2.00,53.86,-,-,93,
,13,-,-,78.25,245.75,-,"1,375",195.20,215.10,"1,100","1,660.00",275,1.25,3.35,275,-0.30,2.95,53.79,6,-3,53,
,22,-1,4,-,193.70,1.55,275,186.25,191.45,275,"1,680.00",275,3.00,4.15,275,-0.60,3.05,50.13,12,-6,27,
,89,-1,8,-,175.00,7.50,275,166.90,171.75,275,"1,700.00",275,3.95,4.55,275,-2.65,3.80,48.39,85,4,261,
,161,-2,7,-,157.00,11.95,275,148.65,152.80,550,"1,720.00",825,5.90,6.35,275,-1.60,5.95,49.43,9,-1,108,
,22,-,-,64.43,170.65,-,"1,375",120.30,139.75,825,"1,740.00",275,7.00,8.05,275,-2.90,6.80,46.62,40,3,64,
,133,-1,11,-,112.50,-4.35,275,109.80,117.00,275,"1,760.00",275,9.00,10.50,275,-3.55,10.70,48.47,115,-21,190,
,48,2,2,-,91.40,-10.60,275,96.00,104.35,"1,375","1,780.00",275,12.55,13.90,275,-5.20,13.30,46.98,74,-40,135,
,369,-40,77,-,81.50,-5.25,275,79.05,83.85,275,"1,800.00",275,16.55,17.95,275,-4.05,17.95,47.22,292,8,415,
,202,-1,8,-,69.50,-13.75,275,59.05,71.55,550,"1,820.00",275,18.45,24.75,275,-4.75,23.90,47.72,67,1,197,
,277,-1,29,19.08,56.50,-12.55,275,50.05,58.70,550,"1,840.00",275,26.15,32.60,275,-4.05,31.50,48.70,124,1,172,
,199,-4,328,25.42,47.00,-8.70,275,46.00,48.60,275,"1,860.00",550,39.50,41.35,825,-7.00,40.50,49.81,190,6,262,
,85,13,197,27.63,37.15,-8.60,275,35.85,39.15,550,"1,880.00",275,49.70,55.30,275,-6.75,48.55,48.95,83,-2,53,
,720,-162,"1,962",32.16,32.15,-6.05,275,30.90,32.10,550,"1,900.00",275,63.75,67.25,275,-3.50,66.70,56.13,107,-3,86,
,146,-20,374,34.06,25.95,-5.65,275,23.65,26.35,275,"1,920.00",275,75.10,81.95,275,-1.90,82.00,59.83,17,6,22,
,96,-26,112,33.96,19.10,-4.60,275,19.65,22.70,550,"1,940.00",275,90.05,119.45,275,-,-,-,-,-,-,
,107,55,96,37.88,17.35,-1.75,275,15.85,18.40,550,"1,960.00",275,103.20,135.50,275,-,-,-,-,-,-,
,88,-42,80,38.66,13.45,-2.50,275,13.10,14.45,275,"1,980.00",275,123.30,138.05,"1,375",-,-,-,-,-,-,
,321,-45,801,40.68,11.30,-1.50,550,10.80,11.45,275,"2,000.00",275,139.65,150.30,550,-,140.00,65.36,-,-,1,
,37,-2,246,43.48,10.15,0.30,275,8.60,9.55,275,"2,020.00",275,158.50,175.90,"1,375",-,-,-,-,-,-,
,114,-1,412,42.36,6.90,-1.80,275,6.80,7.95,275,"2,040.00",275,175.45,193.50,825,-,188.10,-,-,-,1,
,-,-,-,-,-,-,"1,375",2.65,11.10,275,"2,060.00",275,192.05,212.50,"1,375",-,-,-,-,-,-,
,107,2,829,44.96,4.60,-0.75,275,4.35,5.40,550,"2,080.00",275,212.60,224.65,275,-,200.20,61.04,-,-,4,
,69,-28,74,48.00,3.30,-0.45,275,2.85,3.80,550,"2,120.00",275,250.10,269.25,"1,100",-,-,-,-,-,-,
,1,1,1,49.18,2.00,0.80,"1,375",0.90,4.10,275,"2,160.00",275,289.35,308.00,825,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,375",0.55,6.85,"4,125","2,200.00",275,328.95,347.15,825,-,-,-,-,-,-,
