CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"3,200.00",750,2.15,17.00,900,-,4.00,56.71,-,-,5,
,-,-,-,-,-,-,150,"1,294.85","1,358.75",150,"3,350.00",750,3.35,16.80,750,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,246.70","1,310.35",150,"3,400.00",300,4.80,17.50,750,-,23.00,-,-,-,46,
,-,-,-,-,-,-,150,"1,198.35","1,262.15",150,"3,450.00",750,4.50,18.35,750,-,-,-,-,-,-,
,-,-,-,-,-,-,450,"1,150.35","1,214.00",150,"3,500.00",150,10.00,18.60,450,-,12.40,56.21,1,1,10,
,-,-,-,-,-,-,150,"1,102.35","1,166.05",150,"3,550.00",300,5.95,16.80,300,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,054.55","1,118.50",150,"3,600.00",300,6.90,18.00,150,2.20,18.00,55.88,2,2,6,
,-,-,-,-,-,-,150,"1,007.25","1,071.25",150,"3,650.00",300,6.90,20.70,300,-,-,-,-,-,-,
,-,-,-,-,-,-,300,960.45,"1,024.15",150,"3,700.00",150,11.30,26.15,300,-,25.05,55.31,1,1,5,
,-,-,-,-,-,-,300,913.70,977.70,300,"3,750.00",300,9.45,25.90,300,-,-,-,-,-,-,
,-,-,-,-,-,-,450,867.60,931.55,300,"3,800.00",150,19.05,29.80,150,-4.40,25.80,50.86,13,-8,214,
,-,-,-,-,-,-,450,822.20,886.15,300,"3,850.00",300,29.00,39.45,300,-4.40,31.15,50.91,7,-6,82,
,-,-,-,-,-,-,450,777.45,841.05,300,"3,900.00",150,26.60,46.85,300,-0.75,39.00,51.61,5,-2,35,
,-,-,-,-,-,-,300,733.00,796.60,450,"3,950.00",300,28.30,45.25,150,-,45.25,49.19,-,-,20,
,16,-,-,45.39,715.00,-,450,691.25,754.75,450,"4,000.00",150,44.70,47.75,150,-4.95,46.15,49.00,169,8,241,
,-,-,-,-,-,-,450,646.30,709.75,300,"4,050.00",300,51.10,66.30,750,-,58.30,47.97,-,-,24,
,-,-,-,-,-,-,450,604.05,667.40,150,"4,100.00",750,44.50,74.00,300,-6.45,61.90,48.48,12,8,15,
,1,-,-,-,317.60,-,450,562.70,625.90,450,"4,150.00",300,65.35,84.20,150,-258.75,67.30,47.17,2,2,2,
,-,-,-,-,-,-,450,522.50,585.55,450,"4,200.00",150,74.80,78.00,150,-5.25,78.20,47.12,53,-2,123,
,-,-,-,-,-,-,450,482.70,545.75,450,"4,250.00",150,73.05,105.10,300,-,94.05,45.51,-,-,46,
,24,6,16,37.76,475.00,4.00,300,457.80,491.00,150,"4,300.00",150,97.00,99.95,150,-7.10,98.00,45.76,109,8,233,
,-,-,-,-,-,-,600,406.85,469.70,600,"4,350.00",300,84.60,136.05,300,-,120.45,44.81,-,-,2,
,29,-1,1,36.12,394.55,-,300,380.40,434.50,450,"4,400.00",150,120.55,125.20,150,-8.25,123.50,44.71,47,-3,114,
,-,-,-,-,-,-,750,336.05,398.75,750,"4,450.00",150,105.35,157.85,150,-,-,-,-,-,-,
,49,1,28,36.58,329.80,14.80,150,324.90,347.20,150,"4,500.00",150,152.20,157.05,150,-11.35,157.45,44.32,133,38,127,
,17,2,2,36.98,301.25,-,750,271.35,323.65,150,"4,550.00",150,139.25,201.05,300,-,190.00,43.54,-,-,5,
,130,31,137,37.08,273.00,10.75,300,270.05,278.35,150,"4,600.00",150,189.55,196.75,150,-12.75,192.00,42.98,147,17,115,
,70,-2,17,36.13,240.65,3.90,150,237.75,251.45,150,"4,650.00",150,200.20,220.45,300,-26.10,213.90,42.75,11,10,12,
,135,-62,339,36.91,220.00,7.75,150,216.50,222.20,300,"4,700.00",300,233.85,246.20,150,-22.30,242.70,43.45,40,-3,109,
