CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,993.00,-,150,"1,429.85","1,475.20",150,"3,200.00",150,1.40,1.60,300,-0.35,1.35,111.53,63,-20,823,
,1,-,-,-,805.65,-,150,"1,330.10","1,375.50",150,"3,300.00",150,1.40,1.55,150,-0.35,1.40,103.78,22,-5,251,
,3,-,-,-,"1,175.70",-,150,"1,280.45","1,320.35",150,"3,350.00",150,1.35,2.35,"3,000",-,3.00,-,-,-,1,
,-,-,-,-,-,-,150,"1,230.50","1,275.85",150,"3,400.00",150,1.45,1.80,150,-0.35,1.85,99.13,60,-13,97,
,2,-,-,-,"1,161.10",-,150,"1,180.80","1,220.80",150,"3,450.00",150,1.55,2.50,150,-0.10,2.30,89.60,-,-,60,
,200,-,-,-,"1,100.00",-,450,"1,131.95","1,176.55",150,"3,500.00",150,1.80,2.20,300,-0.60,2.15,92.87,201,-15,911,
,8,-,-,-,980.75,-,450,"1,081.40","1,122.55",150,"3,550.00","5,100",1.20,3.75,"3,000",-,7.65,-,-,-,2,
,48,-,-,-,"1,018.10",-,450,"1,031.85","1,077.15",150,"3,600.00",300,2.25,2.45,150,-1.05,2.45,86.38,176,-9,378,
,1,-,-,-,984.70,-,450,982.10,"1,023.45",150,"3,650.00",150,1.95,4.05,150,-1.05,2.40,82.13,11,-,24,
,1,-,-,-,521.00,-,450,932.80,977.90,150,"3,700.00",150,2.80,3.55,150,-1.05,3.15,81.31,298,-64,490,
,17,-,-,-,902.60,-,450,883.35,928.45,150,"3,750.00",150,3.00,5.40,150,-1.25,3.50,78.50,16,-3,35,
,125,-,-,-,825.00,-,450,834.15,881.10,150,"3,800.00",150,3.60,4.20,300,-1.80,3.70,75.08,329,-16,"1,599",
,37,-,-,-,401.95,-,450,784.60,832.55,150,"3,850.00",450,4.20,6.35,150,-4.05,4.30,72.76,64,-24,98,
,240,-,-,-,765.00,-,450,735.50,781.10,150,"3,900.00",450,5.05,5.75,450,-2.45,5.45,71.49,464,54,"1,052",
,255,-,-,-,692.25,-4.25,450,686.65,732.30,150,"3,950.00",150,5.50,6.95,300,-2.15,7.25,70.91,99,-21,187,
,440,-3,10,-,670.00,34.00,150,661.65,671.40,150,"4,000.00",150,7.70,8.35,600,-2.75,8.00,67.85,"1,560",219,"2,107",
,342,-,-,-,584.45,-4.00,450,590.60,637.05,150,"4,050.00",150,9.20,10.10,150,-2.75,9.65,65.96,151,-13,455,
,"1,019",-,25,-,568.05,11.80,150,566.00,573.50,150,"4,100.00",150,11.20,11.85,300,-3.20,11.15,63.43,455,-75,698,
,335,-1,2,-,512.95,20.50,150,508.55,537.00,150,"4,150.00",150,12.85,14.70,150,-2.30,14.60,62.73,284,-57,447,
,"1,084",-48,104,-,470.45,4.10,150,475.00,479.90,150,"4,200.00",300,16.40,17.45,150,-2.75,17.60,60.81,"1,356",-220,"1,708",
,692,-,-,43.98,404.80,-10.80,450,402.60,449.35,150,"4,250.00",150,19.70,21.50,150,-3.25,20.20,58.03,223,-12,422,
,"1,411",-18,258,39.86,385.00,11.30,150,380.65,388.10,150,"4,300.00",300,24.10,25.25,450,-4.00,24.70,56.27,"1,373",41,"1,253",
,516,13,21,38.72,338.00,23.45,150,334.75,347.45,150,"4,350.00",150,29.15,30.65,150,-5.30,29.85,54.28,"1,607",89,804,
,"1,682",-43,242,44.25,301.40,17.10,150,292.35,297.40,300,"4,400.00",150,35.40,36.40,150,-5.50,35.80,52.11,"2,751",161,"2,273",
,550,1,50,38.61,251.30,4.40,150,249.75,258.35,300,"4,450.00",150,43.00,44.70,300,-8.05,42.60,49.69,"1,266",76,523,
,"2,198",-124,"1,143",40.12,214.85,8.20,150,213.00,215.10,150,"4,500.00",150,53.00,54.55,150,-7.90,54.10,48.77,"5,417",104,"1,775",
,680,1,486,39.41,177.50,4.30,150,175.40,178.15,150,"4,550.00",300,65.20,68.00,150,-7.95,68.05,47.85,"1,215",73,"1,028",
,"3,541",-228,"3,707",38.21,142.15,2.70,150,141.25,144.15,600,"4,600.00",300,82.55,83.40,150,-10.90,82.50,46.03,"5,378",265,"2,218",
,"1,528",43,"3,355",37.23,110.90,-1.25,150,110.55,113.00,300,"4,650.00",300,100.75,103.20,150,-9.85,103.90,45.80,"3,004",78,"1,417",
,"5,479",590,"6,871",37.03,85.60,-0.60,150,84.75,87.95,150,"4,700.00",300,124.70,127.25,150,-11.85,127.20,45.02,"3,815","1,004","2,888",
,"1,267",191,"1,933",37.66,66.50,1.15,150,64.05,65.55,150,"4,750.00",300,152.30,155.90,150,-15.40,152.60,43.72,492,58,662,
,"3,359",-247,"3,966",37.07,48.20,-0.80,450,46.30,48.25,300,"4,800.00",150,183.95,188.90,150,-12.20,187.00,44.70,573,152,982,
,"2,145",-14,"1,388",36.68,34.10,-2.10,150,33.05,34.50,150,"4,850.00",150,219.65,226.90,150,-26.45,213.05,40.61,42,-5,101,
,802,-39,"1,978",36.97,24.50,-1.95,150,24.15,24.85,150,"4,900.00",150,256.60,267.00,150,-47.20,250.00,39.68,43,-27,85,
,333,35,612,37.06,17.00,-2.95,150,16.90,18.20,150,"4,950.00",150,288.85,332.85,450,-,-,-,-,-,-,
,"4,539",-248,"4,265",38.45,13.10,-1.70,"15,000",13.00,13.25,"3,000","5,000.00",150,346.40,353.90,150,-23.85,351.50,50.57,189,-72,454,
,194,-43,178,38.66,9.00,-1.90,150,8.00,10.20,150,"5,050.00",150,381.00,424.05,450,-,-,-,-,-,-,
,779,-30,771,39.54,6.60,-1.80,300,6.35,6.85,150,"5,100.00",300,429.70,455.45,150,-3.00,450.55,59.29,1,1,22,
,190,29,137,40.50,4.90,-1.10,150,4.25,5.35,300,"5,150.00",150,476.45,519.30,450,-,496.10,-,-,-,7,
,"1,405",54,"1,193",41.15,3.50,-1.45,"1,800",3.50,3.85,300,"5,200.00",300,529.90,559.75,150,-16.00,544.00,63.29,1,-,166,
,89,-29,57,41.93,2.55,-1.25,150,1.85,3.95,150,"5,250.00",150,574.90,616.95,450,-,-,-,-,-,-,
,759,-18,400,42.83,1.90,-1.10,150,1.80,2.70,150,"5,300.00",150,620.60,666.35,450,-1.00,678.00,-,-,-,11,
,-,-,-,-,-,-,-,-,-,-,"5,350.00",150,672.80,715.85,300,-,"1,300.00",-,-,-,1,
,"1,143",2,192,48.56,2.00,-0.55,150,1.70,2.85,150,"5,400.00",300,721.70,749.65,450,-40.00,745.00,79.77,4,-4,27,
,47,-1,3,48.27,1.30,0.05,150,1.05,2.35,150,"5,450.00",150,774.30,791.50,150,-370.00,790.00,78.99,6,-3,3,
,618,40,191,52.15,1.60,-0.35,150,1.30,1.65,150,"5,500.00",150,830.50,840.60,150,-3.65,840.00,82.54,5,-5,391,
,379,-12,151,57.32,1.65,0.25,"3,150",1.35,1.70,150,"5,600.00",150,920.25,941.60,150,-1.20,942.80,92.22,32,-20,168,
