CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,65,"2,969.20","3,509.30","1,690","21,200.00",650,11.55,18.40,650,4.60,18.40,30.92,225,158,233,
,-,-,-,-,-,-,65,"2,933.90","3,452.70",65,"21,250.00",65,10.75,18.95,65,-3.90,15.40,29.62,5,5,5,
,-,-,-,-,-,-,65,"2,865.20","3,388.05","1,690","21,300.00",65,11.55,19.85,65,-5.50,16.05,29.40,5,5,5,
,-,-,-,-,-,-,65,"2,844.10","3,336.70",65,"21,350.00",65,11.60,20.30,65,-7.30,16.75,29.18,5,5,5,
,-,-,-,-,-,-,65,"2,787.30","3,278.85","1,690","21,400.00",65,13.55,-,-,-9.30,17.50,28.98,5,5,5,
,-,-,-,-,-,-,65,"2,738.15","3,251.30","1,690","21,450.00",65,13.05,-,-,-11.50,18.25,28.76,5,5,5,
,-,-,-,-,-,-,65,"2,705.35","3,193.45","1,690","21,500.00",65,15.00,-,-,-12.95,20.10,28.81,33,19,19,
,-,-,-,-,-,-,65,"2,653.15","3,119.30",65,"21,550.00",130,15.05,-,-,-16.50,20.10,28.38,10,5,5,
,-,-,-,-,-,-,65,"2,605.40","3,137.50",65,"21,600.00",130,14.65,-,-,-20.35,20.10,27.96,5,5,5,
,-,-,-,-,-,-,65,"2,548.35","3,038.20","1,690","21,650.00",130,15.10,-,-,-24.60,20.05,27.52,6,6,6,
,-,-,-,-,-,-,65,"2,488.30","2,996.50","3,380","21,700.00",195,15.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"2,437.65","2,909.35","1,690","21,750.00",130,15.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,428.00","2,887.35",65,"21,800.00",65,16.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,356.65","2,818.90","1,690","21,850.00",65,16.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"2,335.05","2,785.30","3,380","21,900.00",130,16.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"2,283.10","2,730.40","1,690","21,950.00",130,16.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,005.60","2,669.95","1,690","22,000.00","21,255",22.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"2,190.65","2,605.05","1,690","22,050.00","17,550",23.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,153.35","2,561.05",65,"22,100.00",65,37.15,39.15,585,7.30,39.20,27.05,514,281,522,
,-,-,-,-,-,-,"1,690","2,096.20","2,518.05",65,"22,150.00","35,360",24.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"2,052.75","2,528.95","1,690","22,200.00","39,585",25.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,006.05","2,428.45","1,690","22,250.00","33,605",26.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,766.15","2,375.15","1,690","22,300.00","33,085",27.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,722.30","2,316.45","1,690","22,350.00","26,585",28.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,697.80","2,259.65","1,690","22,400.00","28,340",29.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,816.65","2,215.85",65,"22,450.00","37,115",30.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,610.85","2,176.95","3,380","22,500.00",65,57.00,59.90,195,14.10,60.00,25.78,354,54,266,
,-,-,-,-,-,-,65,"1,564.10","2,143.50","1,690","22,550.00","1,365",34.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,522.10","2,089.05","1,690","22,600.00","1,365",36.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,486.70","2,036.90","1,690","22,650.00","1,365",38.95,-,-,-,-,-,-,-,-,
,1,1,1,-,"1,716.20",908.40,"1,690","1,454.55","1,987.55","1,690","22,700.00","1,755",41.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,389.55","1,934.50","1,690","22,750.00",65,43.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,363.85","1,906.50","1,690","22,800.00",650,47.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,308.80","1,829.00","1,690","22,850.00",650,47.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,274.30","1,806.55","1,690","22,900.00",650,54.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,320.60","1,726.30","1,690","22,950.00",65,92.15,102.10,65,19.50,96.75,24.38,123,75,130,
,1,1,1,-,"1,490.00",868.60,65,"1,061.35","1,691.10",65,"23,000.00",65,99.25,103.85,65,18.05,100.30,24.09,"2,470",313,"1,254",
,-,-,-,-,-,-,65,"1,209.75","1,645.05","1,690","23,050.00",650,67.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,177.50","1,594.15","1,690","23,100.00",650,73.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,034.80","1,542.45","1,690","23,150.00",650,81.30,125.80,65,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690",959.75,"1,495.90","1,690","23,200.00",65,124.30,133.25,65,25.60,128.00,23.75,337,145,175,
,-,-,-,-,-,-,65,"1,034.70","1,450.10","1,690","23,250.00",65,130.90,138.15,65,26.40,134.50,23.57,84,67,70,
,-,-,-,-,-,-,"1,690",905.80,"1,403.50","1,690","23,300.00",65,138.90,148.55,65,25.55,141.25,23.39,185,26,99,
,-,-,-,-,-,-,"1,690",859.50,"1,365.70","1,690","23,350.00",65,146.80,156.60,65,27.70,151.00,23.37,71,49,55,
,29,29,29,17.63,"1,180.00",761.90,65,861.40,"1,155.00",65,"23,400.00",65,154.70,164.95,65,24.90,156.40,23.07,110,37,55,
,-,-,-,-,-,-,65,801.75,"1,256.65","1,690","23,450.00",260,162.05,178.15,910,-8.50,152.60,22.20,33,23,33,
,12,1,24,17.81,"1,099.00",40.00,390,993.90,"1,194.05",325,"23,500.00",260,173.70,179.95,65,25.45,173.50,22.77,"1,055",234,572,
,1,1,1,17.97,"1,060.70",160.70,975,701.55,"1,184.15","1,690","23,550.00",65,143.90,204.15,65,-5.50,155.20,21.06,18,-4,21,
,1,-,-,-,937.30,0.40,325,762.35,"1,124.90",325,"23,600.00",65,193.15,205.90,65,30.00,196.00,22.66,79,3,53,
,-,-,-,-,-,-,325,653.50,"1,114.45",975,"23,650.00",65,173.60,229.45,650,-7.05,169.10,20.52,3,2,22,
,-,-,-,-,-,-,325,605.85,"1,045.35",65,"23,700.00",65,216.40,225.70,65,31.40,216.00,22.32,90,3,57,
,-,-,-,-,-,-,325,603.35,"1,017.85","1,690","23,750.00",65,224.90,240.20,65,29.50,226.65,22.14,22,4,14,
,13,-1,27,16.88,847.25,8.40,65,801.25,943.35,65,"23,800.00",65,238.75,244.95,195,35.80,244.50,22.29,273,129,186,
,1,-,-,14.83,763.75,-,325,507.75,825.90,325,"23,850.00",65,250.70,265.70,65,30.30,250.55,21.84,29,10,19,
,10,4,18,19.19,820.10,108.20,65,701.45,865.60,325,"23,900.00",390,255.80,277.90,390,37.10,273.45,22.17,303,-36,140,
,5,-1,2,19.02,782.35,95.60,390,673.35,790.30,390,"23,950.00",325,266.20,288.00,"1,625",4.10,248.00,20.19,80,36,66,
,162,4,207,15.99,685.50,-3.80,65,670.05,690.95,65,"24,000.00",65,295.70,305.05,65,37.05,296.95,21.67,"1,209",255,518,
,-,-,-,-,-,-,65,531.70,789.15,325,"24,050.00",390,303.25,320.00,780,21.35,293.25,20.69,18,10,38,
,49,-6,54,16.21,622.75,13.90,390,597.65,630.40,65,"24,100.00",65,325.85,339.10,65,43.00,332.15,21.60,100,9,61,
,9,-8,30,17.93,628.75,48.75,65,559.05,616.95,65,"24,150.00",325,327.70,376.00,65,-26.45,320.95,20.25,12,2,11,
,"2,452","2,360","3,817",16.52,566.25,9.70,65,558.65,565.70,65,"24,200.00",65,362.75,371.30,65,48.70,371.50,21.58,"1,588",707,825,
,43,15,39,16.53,536.30,24.70,65,505.25,534.60,65,"24,250.00",390,373.70,406.80,325,47.45,391.30,21.53,56,16,41,
,334,21,690,16.00,494.95,-1.45,65,490.65,499.45,65,"24,300.00",65,405.65,409.55,65,53.30,411.30,21.46,512,-17,194,
,60,36,72,15.86,463.30,-2.70,65,461.50,476.50,65,"24,350.00",65,414.70,436.95,65,46.75,425.00,21.09,111,27,49,
,313,46,804,15.89,436.55,-1.20,65,434.75,443.25,65,"24,400.00",65,441.55,451.15,65,60.05,460.15,21.59,544,10,136,
,75,61,143,15.87,409.85,-0.55,65,403.45,416.50,65,"24,450.00",325,455.85,475.00,65,-829.15,461.00,20.61,33,17,17,
,"1,653",624,"2,845",15.86,384.40,2.60,65,384.00,385.35,65,"24,500.00",65,491.75,499.15,65,56.65,498.00,21.13,"1,233",599,"1,227",
,48,43,63,15.94,362.15,27.75,65,344.95,363.55,65,"24,550.00",65,460.60,682.75,975,-893.50,480.70,19.33,15,13,13,
,186,57,307,15.83,336.25,4.10,65,332.15,338.95,65,"24,600.00",130,528.80,547.35,65,-882.60,534.30,20.47,99,42,42,
,24,20,34,16.38,327.35,52.35,325,290.60,332.30,325,"24,650.00",65,457.65,743.85,65,-995.20,464.85,16.40,1,1,1,
,144,73,267,15.76,291.50,8.75,195,285.00,291.75,65,"24,700.00",65,570.25,626.55,65,42.10,587.20,20.38,141,25,49,
,49,3,12,15.78,271.75,14.05,65,255.00,271.30,65,"24,750.00",65,101.40,806.90,975,-,-,-,-,-,-,
,316,195,"1,355",15.56,247.70,6.60,65,240.80,247.75,65,"24,800.00",65,612.50,693.90,65,-914.20,677.55,21.75,117,31,31,
,54,30,69,15.67,232.20,9.50,65,222.05,231.10,65,"24,850.00",975,142.60,870.40,975,-,-,-,-,-,-,
,112,40,250,15.45,210.15,11.55,65,204.50,211.95,65,"24,900.00",130,643.65,882.35,975,"-1,030.80",650.50,17.90,2,2,2,
,29,-8,63,15.92,204.35,22.75,65,181.65,209.75,65,"24,950.00",-,-,947.75,975,-,-,-,-,-,-,
,978,330,"2,730",15.29,175.70,6.70,65,173.60,179.45,65,"25,000.00",975,707.10,979.25,"1,690",-,-,-,-,-,-,
,37,6,212,15.29,161.50,6.30,65,154.50,162.50,65,"25,050.00","1,690",527.45,995.80,65,-,-,-,-,-,-,
,92,31,310,15.24,147.30,10.55,65,140.35,148.60,65,"25,100.00","1,690",555.75,"1,045.95","1,690",-,-,-,-,-,-,
,61,53,101,15.08,131.85,9.15,65,127.80,138.20,65,"25,150.00","1,690",580.05,"1,064.10","1,690",-,-,-,-,-,-,
,142,109,302,15.05,119.95,6.35,65,111.70,122.15,65,"25,200.00","1,690",626.80,"1,122.35","1,690",-,-,-,-,-,-,
,47,21,95,14.85,105.90,6.85,65,71.55,125.90,65,"25,250.00","1,690",683.40,"1,150.75","1,690",-,-,-,-,-,-,
,312,91,335,15.02,98.95,8.75,65,94.25,100.85,65,"25,300.00","1,690",716.35,"1,200.75","1,690","-1,098.00",953.00,18.94,1,1,1,
,27,17,85,14.39,80.00,-1.20,65,83.80,98.80,65,"25,350.00",65,680.40,"1,233.10","1,690",-,-,-,-,-,-,
,146,91,373,14.88,79.35,5.30,65,75.05,79.95,65,"25,400.00",65,346.00,"1,277.85","1,690",-,-,-,-,-,-,
,34,12,106,14.79,70.30,5.90,65,67.40,78.25,65,"25,450.00",65,369.35,"1,310.45","1,690",-,-,-,-,-,-,
,"1,378",510,"3,223",14.69,62.00,5.55,260,61.00,62.00,65,"25,500.00","1,690",899.80,"1,371.05","1,690",-,-,-,-,-,-,
