CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"15,000.00","5,265",2.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"16,500.00",65,0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"18,000.00",455,3.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"19,500.00",65,203.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,000.00",65,303.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,500.00",65,453.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,000.00",65,763.10,-,-,-,950.00,-,-,-,24,
,-,-,-,-,-,-,-,-,-,-,"24,000.00",65,653.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,000.00",65,"1,122.00",-,-,-,709.70,-,-,-,4,
,-,-,-,-,-,-,-,-,-,-,"25,500.00","1,300",0.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"26,000.00",65,"1,401.00","1,999.00",65,-,"1,551.00",-,-,-,56,
,-,-,-,-,-,-,-,-,-,-,"27,000.00",65,"1,203.00",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"28,500.00",65,"1,553.00",-,-,-,-,-,-,-,-,
,123,1,1,-,"3,350.00",-350.00,65,"2,601.05","3,447.70",65,"30,000.00",65,"1,913.00",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"31,500.00",65,"2,403.00",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,455,5.25,-,-,"33,000.00",65,"2,803.00",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,0.10,-,-,"34,500.00",65,"3,303.00",-,-,-,-,-,-,-,-,
