CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"3,750.00",-,650,"4,043.35","4,345.20","1,430","20,100.00","1,690",1.50,1.95,195,-,1.50,48.11,"10,170",415,"10,924",
,-,-,-,-,-,-,780,"3,895.45","4,527.95",780,"20,150.00",65,1.40,1.95,325,-0.10,1.45,47.39,101,19,249,
,24,-,-,-,"3,575.00",-,780,"3,638.70","4,256.15",780,"20,200.00","1,625",1.85,1.90,"1,560",0.25,1.90,48.14,"5,094",96,"4,274",
,1,-,-,-,"2,221.65",-,780,"3,907.70","4,710.45",780,"20,250.00",195,1.55,2.20,195,0.25,1.90,47.57,38,2,102,
,1,-,-,-,"2,854.00",-,780,"3,695.20","4,253.60","2,470","20,300.00",260,1.90,3.15,"1,300",0.15,1.95,47.13,"1,507",221,"1,038",
,1,-,-,-,"2,434.15",-,780,"3,808.45","4,246.25","1,690","20,350.00","1,885",2.35,3.40,65,0.45,2.35,47.50,412,233,390,
,1,-,-,-,"2,428.70",-,780,"3,749.70","4,247.10","1,755","20,400.00","1,625",1.90,2.80,"1,300",-,1.90,45.87,587,59,505,
,1,-,-,-,"2,343.90",-,780,"3,704.50","4,099.95",780,"20,450.00",130,1.85,3.40,"1,300",0.15,2.15,45.91,80,-17,81,
,"2,810",-127,158,-,"3,820.00",-50.75,130,"3,804.95","3,836.45",130,"20,500.00","1,625",2.25,2.30,975,0.20,2.30,45.67,"14,407",-727,"22,864",
,2,-,-,-,"2,277.20",-,780,"3,361.20","3,985.10",195,"20,550.00",325,1.95,2.65,"1,300",0.55,2.60,45.70,404,12,141,
,4,-,-,-,"2,033.15",-,780,"3,425.45","4,262.20",780,"20,600.00",325,2.25,2.50,325,0.25,2.50,44.93,507,71,428,
,3,-,-,-,"2,380.00",-,"1,690","3,510.25","4,161.65",780,"20,650.00",130,2.00,2.85,"1,300",-0.20,2.05,43.40,89,-12,111,
,11,-,-,-,"2,133.00",-,780,"3,332.05","3,663.30",845,"20,700.00","1,300",2.55,2.70,390,0.30,2.70,44.16,566,57,417,
,4,-,-,-,"2,383.25",-,780,"3,280.10","4,113.35",780,"20,750.00",195,2.10,3.10,"1,300",-0.55,2.05,42.27,80,-5,139,
,6,-,-,-,"2,180.00",-,780,"3,244.15","3,573.55",780,"20,800.00",325,2.40,3.00,650,0.40,3.05,43.60,839,120,"1,212",
,6,-,-,-,"2,136.20",-,780,"3,202.90","3,738.30",845,"20,850.00",195,2.20,3.00,650,-0.20,2.35,41.77,25,-6,33,
,5,-,-,-,"2,092.80",-,"1,690","2,939.35","3,660.35","1,755","20,900.00",195,2.70,2.90,390,0.55,2.85,42.10,"5,856","1,125","4,865",
,4,-,-,-,"2,330.05",-,780,"3,112.30","3,499.55",780,"20,950.00",195,2.45,3.40,"1,300",-0.70,2.30,40.53,55,-4,72,
,"11,285",-419,807,-,"3,315.00",-56.95,65,"3,300.35","3,330.00",195,"21,000.00",520,3.30,3.35,845,0.25,3.35,41.73,"52,278","10,456","96,446",
,3,-,-,-,"2,232.90",-,780,"3,075.20","3,541.75",780,"21,050.00","1,755",2.35,3.85,"1,300",0.45,3.70,41.63,109,6,54,
,7,-,-,-,"2,819.00",-,780,"3,062.50","3,345.05",780,"21,100.00","1,495",3.35,3.70,650,0.40,3.80,41.18,"1,678",65,828,
,4,-,-,-,"2,678.10",-,780,"2,923.30","3,296.65",780,"21,150.00","2,145",2.65,3.70,260,0.55,3.70,40.45,142,13,72,
,9,-,-,-,"2,016.90",-,780,"2,972.05","3,528.85",780,"21,200.00",325,3.85,4.00,325,0.40,3.85,40.06,"5,441",-38,"4,967",
,4,-,-,-,"2,000.30",-,780,"2,705.65","3,194.65",780,"21,250.00",65,3.15,4.20,65,0.40,4.10,39.77,125,33,142,
,3,-,-,-,"2,994.40",-,780,"2,843.40","3,198.00",780,"21,300.00",325,3.90,4.20,260,0.25,3.90,38.94,"3,994","1,118","2,355",
,4,-,-,-,"2,848.55",-,780,"2,547.40","3,101.75","1,690","21,350.00","1,755",2.65,4.50,65,0.45,4.25,38.76,234,28,236,
,15,-,-,-,"2,966.00",-,780,"2,542.95","3,045.90","1,690","21,400.00",325,4.20,4.60,520,0.25,4.20,38.10,"2,345",-18,"1,324",
,9,-1,1,-,"2,922.75",173.15,845,"2,813.10","2,998.80",780,"21,450.00",65,3.70,4.95,"1,300",0.15,4.35,37.68,566,-91,370,
,"1,954",-129,161,-,"2,813.05",-59.65,65,"2,809.00","2,832.30",390,"21,500.00",910,4.70,4.85,"1,365",0.75,4.85,37.60,"26,773",573,"30,689",
,7,-,-,-,"2,668.00",-,780,"2,635.40","2,826.30",780,"21,550.00","1,755",3.05,5.10,65,1.15,5.10,37.25,744,16,251,
,564,-1,2,-,"2,714.15",37.15,780,"2,668.70","2,728.05",195,"21,600.00",130,4.85,5.35,260,0.60,4.85,36.40,"7,499",-6,"3,712",
,10,-,-,-,"2,597.95",-,780,"2,517.05","2,724.70",845,"21,650.00",130,4.00,5.70,"1,300",0.85,5.30,36.22,555,-45,259,
,95,-,5,37.48,"2,720.00",569.00,780,"2,496.85","2,647.65",390,"21,700.00",260,5.10,5.50,195,0.90,5.45,35.75,"6,777",32,"3,269",
,15,-,1,-,"2,615.00",190.00,780,"2,215.05","2,626.95",780,"21,750.00",260,5.40,5.95,"1,300",0.70,5.40,35.09,481,-52,347,
,133,-9,25,42.08,"2,632.00",136.25,780,"2,370.10","2,538.75",390,"21,800.00",130,5.70,5.90,780,0.65,5.65,34.70,"15,656",-943,"8,193",
,37,-,-,-,"2,160.45",-,"1,755","2,337.85","2,614.30","1,755","21,850.00",195,5.85,6.55,"1,300",0.80,5.95,34.33,"1,780",-36,854,
,270,-3,4,41.67,"2,535.00",245.00,780,"2,297.55","2,454.80",130,"21,900.00",260,6.05,6.70,455,1.10,6.50,34.14,"10,698",643,"6,004",
,19,-,-,-,"1,753.80",-,"1,755","2,184.15","2,420.05",65,"21,950.00",975,6.25,6.80,195,0.85,6.65,33.63,"3,895",720,"2,075",
,"14,684",-333,"1,216",-,"2,324.50",-53.25,65,"2,311.55","2,329.40",130,"22,000.00",325,7.00,7.05,130,0.85,7.05,33.29,"73,707","11,805","80,189",
