CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",65,1.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"16,500.00",65,2.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"18,000.00",65,7.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"19,500.00",130,78.15,154.25,130,15.50,93.10,25.71,63,19,61,
,-,-,-,-,-,-,65,"2,847.30","5,094.60",65,"21,000.00",65,153.95,162.00,260,19.30,162.00,22.78,"3,373",-199,"5,788",
,254,-4,23,-,"2,754.55",-30.70,65,"2,604.20","2,762.20",65,"22,500.00",65,291.55,300.00,"1,820",16.75,291.05,20.05,"3,110",-104,"6,327",
,-,-,-,-,-,-,-,-,-,-,"23,000.00",130,367.75,373.00,65,27.80,372.00,19.53,"3,338","1,222","7,424",
,"5,295",-30,511,10.53,"1,590.00",8.85,65,"1,590.00","1,607.25",65,"24,000.00",650,582.00,587.00,65,31.20,581.05,18.31,"1,237",-52,"7,773",
,-,-,-,-,-,-,-,-,-,-,"25,000.00",65,911.00,919.00,65,42.65,918.85,17.62,241,-,"4,105",
,"7,222",-879,"2,380",11.01,699.50,15.55,325,696.80,712.75,65,"25,500.00",65,"1,062.70","1,125.95",65,46.70,"1,125.00",17.15,312,155,"1,281",
,"10,085",667,"3,739",10.90,488.00,20.00,130,486.00,492.15,65,"26,000.00",65,"1,363.00","1,406.75",65,48.65,"1,386.80",17.06,181,54,"6,301",
,"6,294",-83,"3,579",10.74,209.95,12.30,65,208.00,210.00,130,"27,000.00",65,"2,054.50","2,098.00",65,49.25,"2,060.25",17.83,96,51,"3,255",
,"2,401",169,749,11.48,62.00,2.60,65,61.30,65.50,195,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,"2,312",9,424,13.26,29.10,2.15,780,27.60,29.00,130,"30,000.00",65,"4,296.70","5,616.10",65,-,"2,600.00",-,-,-,1,
,15,-,-,-,22.00,-,65,5.15,27.90,325,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,354,9,21,17.35,13.95,0.25,585,13.00,13.95,455,"33,000.00",-,-,-,-,-,-,-,-,-,-,
