CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"8,690.00",-,65,"12,300.00","13,312.15","1,690","12,000.00",455,3.30,4.40,"1,625",0.80,4.40,60.57,17,-7,"1,362",
,-,-,-,-,-,-,-,-,-,-,"13,000.00",65,4.60,8.00,780,0.20,6.05,56.12,-,-,271,
,-,-,-,-,-,-,-,-,-,-,"14,000.00","5,070",6.50,8.60,390,-0.50,6.50,50.57,7,-,594,
,-,-,-,-,-,-,65,"8,851.95","9,970.95","1,690","15,000.00",715,9.00,10.85,65,-0.65,9.00,46.65,304,68,"2,683",
,-,-,-,-,-,-,-,-,-,-,"16,000.00",65,11.35,13.75,650,2.25,13.45,43.30,522,47,"3,169",
,-,-,-,-,-,-,-,-,"8,513.40","1,690","16,500.00",65,12.25,14.55,65,-0.70,11.80,39.89,16,10,139,
,228,-,-,-,"6,500.00",-,65,"6,400.00","6,759.40","1,690","18,000.00",325,26.20,26.95,195,4.70,27.00,36.26,"3,357",-1,"8,601",
,"9,801",-39,134,-,"5,469.40",-56.45,65,"5,465.15","5,498.25",195,"19,000.00",65,34.00,34.90,585,5.75,34.80,32.26,"3,241",287,"14,147",
,319,-,-,-,"4,975.40",55.20,65,"4,553.80","5,200.00",65,"19,500.00","59,280",20.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,000.00",195,50.80,52.00,"1,170",10.95,52.00,29.04,"5,271",479,"25,115",
,-,-,-,-,-,-,-,-,"4,840.50",65,"20,100.00","1,820",22.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"4,280.85","4,753.60","1,690","20,150.00","1,820",22.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"4,722.85",65,"20,200.00","1,820",23.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"3,800.00","4,673.70","1,690","20,250.00","1,820",23.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","3,620.50","4,601.80","1,690","20,300.00","1,820",23.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"3,729.45","4,580.90","1,690","20,350.00","1,820",24.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","3,522.95","4,500.60","1,690","20,400.00","1,820",24.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","3,509.60","4,486.55","1,690","20,450.00","1,820",25.00,-,-,-,-,-,-,-,-,
,192,-,-,-,"4,000.70",-,65,"3,615.50","4,374.85","1,690","20,500.00","20,735",25.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"3,549.95","4,370.60","1,690","20,550.00","1,820",26.00,-,-,-,-,-,-,-,-,
,6,-,-,-,"3,500.00",-,"1,690","3,492.45","4,279.05",65,"20,600.00","1,820",26.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"3,361.45","4,261.05","1,690","20,650.00","1,820",27.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"3,314.95","4,205.10","1,690","20,700.00","1,820",27.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","3,266.10","4,147.50","1,690","20,750.00","1,820",28.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","3,136.70","4,100.70","1,690","20,800.00","1,820",29.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","3,169.95","4,048.30","1,690","20,850.00","1,820",30.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","3,215.50","4,015.50","1,690","20,900.00","1,820",31.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"3,167.90","3,949.85","1,690","20,950.00","1,820",32.25,-,-,-,-,-,-,-,-,
,"7,239",63,771,-,"3,590.60",-37.15,65,"3,575.95","3,605.25",260,"21,000.00",130,78.70,80.30,195,18.10,80.30,25.93,"4,995",352,"22,785",
,-,-,-,-,-,-,65,"3,076.80","3,850.35","1,690","21,050.00","1,820",34.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"3,034.50","3,820.70","1,690","21,100.00","1,820",35.70,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,919.45",-,65,"3,020.40","3,671.45",260,"21,150.00","3,575",37.05,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,883.60",-,"1,690","2,758.25","4,398.60",65,"21,200.00","3,575",38.50,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,848.05",-,"1,755","2,711.75","4,349.10",65,"21,250.00","3,575",40.00,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,812.70",-,65,"2,883.50","4,299.55",65,"21,300.00","3,575",41.65,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,777.65",-,65,"2,835.85","4,250.05",65,"21,350.00","1,820",44.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,751.25","3,489.65","1,690","21,400.00","1,820",46.30,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,705.55",-,"1,690","2,721.25","4,151.10",65,"21,450.00","1,820",48.30,-,-,-,-,-,-,-,-,
,2,-,-,-,"2,265.00",-,"1,040","2,679.65","3,350.90",65,"21,500.00",65,103.25,105.75,195,25.20,105.50,24.67,"3,587",726,"3,707",
,1,-,-,-,"1,639.75",-,"1,040","2,634.10","4,052.20",65,"21,550.00","1,820",52.85,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,606.75",-,"1,170","2,588.45","4,002.80",65,"21,600.00","1,820",55.40,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,569.90",-,"1,170","2,536.75","3,953.45",65,"21,650.00","1,820",58.00,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,694.65",-,"1,170","2,483.90","3,904.10",65,"21,700.00","1,755",60.80,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,465.80",-,"1,430","2,437.40","3,854.80",65,"21,750.00","1,820",63.80,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,444.70",-,65,"2,380.75","3,805.50",65,"21,800.00","1,820",66.95,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,442.80",-,65,"2,346.85","3,756.30",65,"21,850.00","3,575",70.45,-,-,-,-,-,-,-,-,
,1,-,-,-,"1,369.60",-,65,"2,273.30",-,-,"21,900.00","3,510",75.40,-,-,-,-,-,-,-,-,
,5,-,-,-,"1,345.70",-,"1,560","2,253.55",-,-,"21,950.00","3,575",80.60,-,-,-,-,-,-,-,-,
,"1,540",-268,911,-,"2,687.65",-21.20,65,"2,675.85","2,694.05",65,"22,000.00",195,138.50,139.90,65,30.00,139.40,23.43,"12,670",-810,"16,538",
,5,-,-,-,"2,400.00",-,"1,755","2,157.60","2,771.10",65,"22,050.00","10,530",91.95,-,-,-,145.00,-,-,-,61,
,7,-,-,-,"1,340.85",-,"1,170","2,112.60","2,730.50",65,"22,100.00",65,97.05,147.90,65,27.40,144.90,23.06,118,-5,81,
,5,-,-,-,"1,713.15",-,65,"2,122.30","2,674.90","1,690","22,150.00",65,148.80,164.45,65,29.45,152.20,23.09,333,22,98,
,8,-,-,-,"1,283.90",-,"1,755","2,017.25","2,617.85",65,"22,200.00",65,150.10,156.00,65,29.60,153.60,22.83,"1,225",6,471,
