CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",65,20.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"16,500.00",65,24.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"18,000.00",65,30.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"19,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,963.90,-,-,"24,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,216.90,-,-,"25,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,36.00,-,-,"27,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,27.00,-,-,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,18.00,-,-,"30,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,9.00,-,-,"31,500.00",-,-,-,-,-,-,-,-,-,-,
