CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,000",259.10,277.00,"1,000","1,100.00","2,000",1.00,1.25,"1,000",0.20,1.30,36.18,83,-2,210,
,6,-,-,-,200.00,-,"1,000",239.45,257.35,"1,000","1,120.00","1,000",1.25,1.50,500,0.10,1.30,33.66,70,-9,235,
,-,-,-,-,-,-,"1,000",219.90,237.85,"1,000","1,140.00","1,000",1.00,3.00,"2,500",-,3.05,36.91,-,-,4,
,-,-,-,-,-,-,"1,000",200.50,218.40,"1,000","1,160.00",500,1.75,2.20,500,0.05,1.75,30.24,11,-9,12,
,1,-,1,29.24,195.00,26.20,"1,500",181.25,199.20,"1,500","1,180.00","1,000",2.30,4.85,"1,000",-0.20,2.30,29.19,97,-24,353,
,-,-,-,-,-,-,"1,500",171.80,189.70,"1,500","1,190.00","1,000",1.45,3.40,"1,000",-,-,-,-,-,-,
,48,1,5,28.34,176.00,-2.00,"1,000",168.00,176.20,500,"1,200.00","1,000",3.30,3.50,"2,500",-0.05,3.45,28.98,338,-60,689,
,-,-,-,-,-,-,"1,500",153.10,170.40,"1,000","1,210.00","1,000",1.75,4.45,"1,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",143.90,161.70,"1,000","1,220.00",500,3.35,4.90,"1,000",0.05,4.65,28.17,44,19,122,
,-,-,-,-,-,-,"1,000",135.15,151.95,"1,000","1,230.00",500,5.25,6.05,"1,000",-,5.40,27.78,27,16,83,
,-,-,-,-,-,-,"2,000",125.90,143.70,"1,000","1,240.00","1,000",6.20,6.50,500,0.45,6.65,27.88,97,18,121,
,-,-,-,-,-,-,"1,000",117.30,134.65,"1,000","1,250.00","1,000",7.55,7.80,"1,000",0.25,7.65,27.46,314,-12,280,
,36,-,-,22.87,122.00,-0.70,"2,500",108.70,126.65,"2,000","1,260.00",500,8.55,9.30,500,0.35,9.10,27.37,72,13,105,
,21,-,-,-,97.05,-,"2,500",100.40,118.35,"2,500","1,270.00","1,000",10.40,10.55,500,0.20,10.35,26.88,277,128,220,
,58,4,5,23.19,101.95,-9.45,500,98.20,103.35,500,"1,280.00","1,000",12.05,12.65,500,0.60,12.35,26.92,205,34,225,
,7,-,-,18.20,92.15,-,"1,000",85.25,102.30,"2,500","1,290.00","1,000",13.85,14.60,"1,000",0.95,14.50,26.85,45,15,46,
,"1,018",-147,495,23.63,86.70,-3.40,500,86.00,86.80,500,"1,300.00",500,16.45,16.60,"90,000",0.65,16.50,26.47,"1,504",286,"1,473",
,60,-,-,23.86,82.50,-0.15,500,75.30,87.40,"1,000","1,310.00","1,000",18.70,19.45,"1,000",0.75,19.00,26.28,78,-9,163,
,160,-15,19,26.87,77.00,2.20,500,69.95,72.85,500,"1,320.00","1,000",21.85,22.30,500,0.90,21.80,26.10,282,47,264,
,161,-9,43,24.02,66.15,-1.30,"1,000",64.20,66.15,500,"1,330.00","1,000",23.95,25.40,500,1.70,25.55,26.33,128,-4,163,
,271,-4,161,22.85,58.00,-3.65,500,57.55,59.50,"1,000","1,340.00","1,000",28.30,29.40,500,1.70,29.00,26.15,189,60,254,
,605,-16,532,23.77,53.50,-2.30,500,52.20,54.10,500,"1,350.00",500,32.65,33.90,"1,000",1.70,33.00,26.11,423,50,631,
,413,67,554,23.50,47.50,-2.65,500,47.05,47.95,500,"1,360.00","1,000",37.00,37.70,"3,000",2.10,37.60,26.21,366,38,454,
,317,160,460,24.14,43.40,-1.45,"1,000",41.55,43.10,500,"1,370.00",500,41.20,43.00,500,1.65,42.00,25.99,410,49,399,
,435,209,730,23.81,38.05,-1.95,500,37.60,38.45,"1,000","1,380.00",500,47.05,48.20,500,2.45,47.70,26.33,674,226,330,
,147,37,125,23.72,33.50,-2.00,"1,000",33.10,34.05,500,"1,390.00",500,51.00,54.85,500,0.95,51.80,25.52,22,18,60,
,"4,153",-477,"3,826",24.19,30.25,-1.50,500,29.75,30.00,500,"1,400.00","1,500",58.80,59.50,"2,000",3.00,59.50,26.63,577,239,"1,563",
,333,39,99,23.82,25.95,-1.85,"1,000",25.80,26.75,500,"1,410.00",500,59.10,67.65,"1,000",-0.20,63.80,25.52,14,-2,21,
,228,43,227,24.15,23.15,-1.20,500,22.70,23.35,500,"1,420.00",500,66.90,75.65,500,-16.65,71.00,25.96,5,5,9,
,102,28,161,23.92,19.80,-1.60,"1,000",19.70,20.35,"1,000","1,430.00","2,500",70.20,87.85,"1,000",-,97.00,-,-,-,2,
,333,-57,277,24.19,17.50,-1.15,500,17.30,17.60,500,"1,440.00","1,000",81.55,95.45,"2,500",-,104.00,-,-,-,60,
,939,67,"1,035",24.34,15.30,-0.95,"2,000",15.05,15.30,500,"1,450.00",500,92.50,96.15,500,-3.05,90.50,24.73,75,59,106,
,185,16,120,24.42,13.25,-0.85,"1,500",12.80,13.50,500,"1,460.00","2,500",93.05,111.00,"2,500",-25.10,93.90,21.24,2,1,2,
,114,6,45,24.68,11.65,-0.80,500,11.00,12.10,500,"1,470.00","1,000",101.70,119.15,"2,500",-4.00,102.00,21.05,2,1,13,
,183,-14,291,24.72,10.00,-0.85,"1,000",9.75,10.05,"1,000","1,480.00","1,000",115.00,125.25,500,3.00,116.00,26.13,3,3,5,
,40,23,46,24.22,8.00,-1.40,500,7.40,9.15,500,"1,490.00","1,000",118.30,136.10,"2,000",-,-,-,-,-,-,
,"3,590",223,"1,646",25.13,7.60,-0.65,"1,000",7.55,7.60,"2,000","1,500.00","1,000",134.10,136.20,500,3.50,135.25,28.47,104,90,297,
,277,61,271,25.34,5.60,-0.70,"1,500",5.55,5.90,"1,000","1,520.00","1,500",144.90,162.85,"1,500",-,-,-,-,-,-,
,240,99,245,26.23,4.55,-0.50,"1,000",4.20,4.55,"1,000","1,540.00","1,000",164.85,181.45,"1,500",-,215.00,-,-,-,3,
,72,8,16,27.31,3.85,0.05,"1,000",2.65,3.85,500,"1,560.00","1,000",190.50,200.00,500,-2.90,184.35,20.07,15,9,64,
,"3,419",155,521,28.56,2.45,-0.20,500,2.40,2.50,"3,500","1,600.00",-,-,-,-,-,-,-,-,-,-,
,238,47,72,29.50,1.50,-0.10,"2,500",1.40,1.65,"2,000","1,640.00",-,-,-,-,-,-,-,-,-,-,
,107,5,15,31.20,1.10,-,500,0.95,1.30,"1,000","1,680.00",500,297.40,315.35,500,-3.00,297.00,-,60,60,156,
