CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,220",4,16,-,262.15,-0.85,"1,000",257.25,264.95,500,"1,100.00","53,500",0.20,0.25,"10,500",-0.10,0.20,57.79,444,-74,"2,399",
,36,-,-,-,200.10,-,"1,000",230.90,244.95,500,"1,120.00","13,500",0.20,0.30,"5,500",-0.15,0.20,53.43,50,-33,227,
,18,-,-,-,177.95,-,"1,000",211.00,225.00,500,"1,140.00","37,500",0.15,0.25,"17,500",-0.15,0.20,49.12,97,-24,323,
,139,-,-,-,159.00,-,"1,000",191.10,205.10,500,"1,160.00","1,000",0.20,0.35,"5,500",-,0.35,48.08,130,-17,426,
,-,-,-,-,-,-,"1,500",171.25,185.20,500,"1,180.00","48,500",0.20,0.25,"1,000",-0.15,0.25,41.74,163,-58,797,
,-,-,-,-,-,-,"1,500",161.35,174.80,500,"1,190.00",500,0.20,1.65,500,-0.05,0.35,41.37,24,-9,203,
,976,-17,41,-,159.80,-5.45,500,159.90,160.85,500,"1,200.00","9,000",0.45,0.55,"1,500",-,0.50,41.18,434,-165,"2,815",
,2,-,-,-,134.35,-,500,141.65,155.50,500,"1,210.00","1,000",0.45,0.65,500,0.15,0.60,39.96,68,-12,170,
,160,-1,2,-,141.45,-2.75,"1,000",120.75,143.70,"1,000","1,220.00",500,0.65,0.70,"1,000",0.10,0.70,38.54,339,-112,489,
,-,-,4,55.62,139.10,-77.15,"2,000",121.85,135.40,500,"1,230.00",500,0.70,0.75,"1,000",0.10,0.75,36.56,316,-32,"1,018",
,325,-,-,-,109.00,-,"2,000",112.05,125.95,500,"1,240.00","1,000",0.90,1.00,"1,500",0.10,0.95,35.58,323,41,"1,113",
,500,-8,45,-,110.95,-3.95,500,110.80,111.75,500,"1,250.00","2,000",1.10,1.20,"21,000",0.05,1.15,34.29,703,-114,"1,588",
,351,-13,24,38.88,106.75,2.60,"1,500",94.95,104.05,500,"1,260.00","7,500",1.30,1.40,"2,500",0.05,1.40,33.00,421,30,"1,463",
,319,-,-,-,96.50,-0.75,"2,500",83.00,96.75,500,"1,270.00","1,000",1.65,1.85,500,0.15,1.80,32.05,237,-49,"2,281",
,565,-12,80,-,81.95,-5.00,500,81.85,82.65,500,"1,280.00",500,2.10,2.20,"4,000",0.05,2.10,30.36,981,-103,"1,621",
,864,-8,43,-,73.05,-4.25,500,72.10,73.35,"1,000","1,290.00","2,000",2.60,2.75,"2,500",0.10,2.65,29.20,"1,953",-212,"1,506",
,"15,299",-112,"1,545",-,63.60,-4.25,500,62.90,63.85,500,"1,300.00","49,500",3.45,3.50,"33,500",0.20,3.50,28.38,"6,880",32,"8,414",
,"7,159",-9,439,16.60,54.65,-4.30,"5,500",54.60,54.95,500,"1,310.00",500,4.65,4.80,"3,000",0.45,4.80,27.96,"2,464",-141,"2,266",
,"6,427",-68,"1,376",19.62,46.50,-4.05,"1,000",46.15,46.80,500,"1,320.00","1,500",6.50,6.60,"1,000",0.70,6.60,27.72,"4,994",85,"3,126",
,"4,928",23,"1,438",22.19,39.60,-3.30,"1,500",38.75,39.20,"1,000","1,330.00","1,000",8.80,9.00,"2,500",0.75,8.75,27.26,"5,083",-37,"2,653",
,"3,584",-203,"4,294",22.21,32.25,-3.45,500,32.05,32.45,500,"1,340.00","1,000",12.00,12.20,"2,000",1.20,12.00,27.56,"7,202",81,"3,810",
,"7,890","-1,230","10,398",23.37,26.55,-2.70,"1,500",26.05,26.40,500,"1,350.00",500,15.85,16.15,"1,000",1.55,15.85,27.73,"9,570",-754,"3,581",
,"7,190",-796,"15,424",23.29,20.80,-2.85,"1,500",20.80,21.05,"1,000","1,360.00","2,000",20.40,20.65,500,2.25,20.70,28.26,"12,783",-94,"3,249",
,"4,799",-6,"17,012",23.72,16.30,-2.45,"2,000",16.35,16.50,500,"1,370.00",500,25.90,26.25,"1,000",2.40,26.00,28.46,"5,472",-15,"2,310",
