CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"1,120.00","3,000",1.70,4.50,500,-,5.00,-,-,-,2,
,-,-,-,-,-,-,-,-,-,-,"1,180.00","3,500",2.55,-,-,-,-,-,-,-,-,
,1,-,-,-,100.00,-,-,-,-,-,"1,200.00",500,7.05,8.00,500,-0.25,7.95,26.87,12,-1,56,
,-,-,-,-,-,-,-,-,-,-,"1,240.00","1,500",7.40,14.20,500,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"1,280.00","3,500",6.00,-,-,-,-,-,-,-,-,
,33,-1,8,20.98,103.35,-3.90,"1,000",99.85,124.65,"1,000","1,300.00",500,21.75,22.60,500,0.35,22.40,23.77,114,53,326,
,-,-,-,-,-,-,-,-,-,-,"1,320.00",500,20.00,-,-,-,26.45,23.33,-,-,13,
,-,-,-,-,-,-,-,-,-,-,"1,340.00",-,-,-,-,-,-,-,-,-,-,
,4,2,4,21.39,65.50,-,-,-,-,-,"1,360.00",-,-,-,-,-,-,-,-,-,-,
,1,-,-,-,48.20,-,-,-,-,-,"1,380.00",-,-,-,-,-,-,-,-,-,-,
,490,69,212,21.06,44.90,-2.10,500,44.95,45.75,500,"1,400.00",500,51.00,-,-,-24.00,62.00,23.22,2,1,1,
,4,4,4,25.59,47.45,-,"1,500",25.00,-,-,"1,420.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"1,440.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",12.20,-,-,"1,480.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,000",5.00,-,-,"1,520.00",500,115.10,-,-,-,-,-,-,-,-,
,36,11,20,22.63,8.55,-0.65,500,8.50,9.30,500,"1,560.00",500,153.00,-,-,-18.90,176.10,21.58,7,4,5,
